CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
Informática Industrial,2004.0,2.0,Engenharia Ambiental E Sanitária,2010.0,4,Engenharia Elétrica,1999.0,4.0,Engenharia Mecânica,2017.0,2.0
Química Industrial,1997.0,2.0,Engenharia Industrial Elétrica,1999.0,4,Química,2015.0,4.0,Engenharia Mecânica,2016.0,2.0
Química,2011.0,2.0,Engenharia Mecânica,2010.0,4,Engenharia Elétrica,1996.0,4.0,Engenharia Mecânica,2014.0,2.0
Química,2009.0,2.0,Engenharia De Controle E Automação,2006.0,4,Engenharia Da Energia - Cefet/mg - Ufsj,2017.0,4.0,Engenharia Mecânica,2009.0,2.0
Química Industrial,1993.0,2.0,Tecnologia Em Radiologia,2006.0,4,Educação Tecnológica,2013.0,4.0,Engenharia Mecânica,2004.0,2.0
Química,2008.0,2.0,Tecnologia Em Radiologia,2003.0,4,Tecnologia,2001.0,4.0,Engenharia Elétrica,2016.0,2.0
Eletrônica Industrial,1991.0,2.0,Tecnologia Em Radiologia,2005.0,4,Tecnologia,2003.0,4.0,Engenharia De Estruturas,2015.0,2.0
Química,2006.0,2.0,Engenharia De Energia,2007.0,3,Engenharia Civil,2009.0,4.0,Engenharia Elétrica,2008.0,2.0
Mecatrônica,2006.0,2.0,Engenharia Industrial Elétrica,2002.0,3,Engenharia De Materiais,2012.0,4.0,Ciências Da Computação E Matemática Computacional,2018.0,2.0
Química Industrial,2003.0,2.0,Sistemas De Informação,2002.0,3,Engenharia De Materiais,2010.0,4.0,Estudos Literários,2019.0,2.0
Química,2002.0,2.0,Farmácia,2011.0,3,Engenharia Mecânica,2002.0,4.0,Física,2016.0,2.0
Informática Industrial,2006.0,2.0,Engenharia Industrial Elétrica,1993.0,3,Engenharia Da Energia - Cefet/mg - Ufsj,2009.0,4.0,Engenharia De Produção,2012.0,2.0
Química Industrial,2005.0,2.0,Engenharia De Minas,2010.0,3,Engenharia Da Energia - Cefet/mg - Ufsj,2011.0,4.0,Genética,2015.0,2.0
Mecânica,2011.0,1.0,Ciência Da Computação,1992.0,3,Engenharia Da Energia - Cefet/mg - Ufsj,2015.0,4.0,Engenharia De Materiais,2008.0,2.0
Mecânica,1977.0,1.0,Ciências Biológicas,2013.0,3,Educação Tecnológica,2011.0,4.0,Engenharia De Estruturas,2019.0,2.0
Mecânica,2008.0,1.0,Engenharia Industrial Elétrica,2003.0,3,Engenharia Mecânica,2013.0,4.0,Programa De Pós-graduação Em Engenharia Elétrica,2018.0,2.0
Mecânica,2009.0,1.0,Direito,2007.0,3,Química,2018.0,4.0,Engenharia Metalúrgica E De Minas,2016.0,2.0
Mecânica,1976.0,1.0,Engenharia Química,2009.0,3,Engenharia Elétrica,2000.0,4.0,Quimica,2016.0,2.0
Informática Industrial,2002.0,1.0,Engenharia De Materiais,2013.0,3,Modelagem Matemática E Computacional,2004.0,4.0,Química,2017.0,2.0
Mecânica Industrial,1994.0,1.0,Engenharia De Telecomunicações,2001.0,3,Engenharia Elétrica,2009.0,4.0,Quimica,2020.0,2.0
Mecânica Industrial,1997.0,1.0,Licenciatura Plena Para A Graduação De Professores,1988.0,3,Educação Tecnológica,2006.0,4.0,Administração,2013.0,2.0
Mecânica Industrial,1999.0,1.0,Ciência Da Computação,2003.0,3,Engenharia Da Energia - Cefet/mg - Ufsj,2016.0,4.0,Administração,2012.0,2.0
Mecânica Industrial,2006.0,1.0,Sistemas De Informação,2007.0,3,Ciências Da Computação,2017.0,3.0,"Saneamento, Meio Ambiente E Recursos Hídricos",2019.0,2.0
