CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Mecânica Industrial,2001.0,1,Programa Especial De Formação Para Docentes,2002.0,1.0,Educação Tecnológica,1992.0,1.0,,,
Química Industrial,1999.0,1,Programa Especial De Formação Pedagógica De Docent,2007.0,1.0,Educação Tecnológica,2006.0,1.0,,,
Quimica,1997.0,1,Programa Especial De Formação Pedagógica De Docent,2012.0,1.0,Educação Tecnológica,2021.0,1.0,,,
Química Industrial,1994.0,1,Programa Especial De Formação Pedagógica De Docentes,2018.0,1.0,Engenharia Civil,2010.0,1.0,,,
Química Industrial,1988.0,1,Programa Especial De Formação Pedagógica Docentes,2003.0,1.0,Engenharia Civil,2014.0,1.0,,,
Química Industrial,1981.0,1,Programa Especial De Formação Pedagógica Docentes,2008.0,1.0,Engenharia Civil - Concentração Estruturas,2010.0,1.0,,,
Química Industrial,1972.0,1,Programa Especial Formação Pedagógica De Docentes,2006.0,1.0,Engenharia Civil - Área De Concetração Estruturas,2013.0,1.0,,,
Química,2017.0,1,Química,1989.0,1.0,Engenharia Da Energia,2010.0,1.0,,,
Quimica Industrial,2004.0,1,Programa Especial De Formação De Docente,2018.0,1.0,Engenharia Da Energia,2016.0,1.0,,,
Química,2015.0,1,Química Tecnológica,2008.0,1.0,Engenharia Da Energia - Cefet/mg - Ufsj,2013.0,1.0,,,
Química,1971.0,1,Química Tecnológica,2014.0,1.0,Engenharia De Materiais,2012.0,1.0,,,
Química,1979.0,1,Química Tecnológica,2019.0,1.0,Engenharia De Materiais,2021.0,1.0,,,
Química,2012.0,1,Tecnologia Em Normalização E Qualidade,2002.0,1.0,Engenharia Elétrica,2013.0,1.0,,,
Química,1982.0,1,Tecnologia Qualidade Industrial - Enf.automobilist,2000.0,1.0,Administração,2018.0,1.0,,,
Química,1986.0,1,Tecnologo Em Normalização E Qualidade Industrial,2002.0,1.0,Engenharia Elétrica (cefet Mg/ufsj),2017.0,1.0,,,
Química,1989.0,1,Tecnólogo Em Normalização E Qualidade Industrial,1999.0,1.0,Engenharia Elétrica (ufsj / Cefet-mg),2014.0,1.0,,,
Química,1991.0,1,Programa Especial De Formação De Docentes(química),2011.0,1.0,Engenharia Elétrica - Cefet/mg - Ufsj,2015.0,1.0,,,
Química,2010.0,1,Programa Especial De Formação De Docente,2004.0,1.0,Engenharia Elétrica - Modelagem E Sistemas De Controle,2019.0,1.0,,,
Química,1993.0,1,Licenciatura Plena Ensino Do 2o Grau,1989.0,1.0,Estudos De Linguagem,2011.0,1.0,,,
Química,1994.0,1,Licenciatura Plena Para Graduação De Professores,1997.0,1.0,Manufatura Integrada Por Computador,1998.0,1.0,,,
Química,2008.0,1,Licenciatura Plena Ensino Química,1983.0,1.0,Manufatura Integrada Por Computador,2002.0,1.0,,,
Química,2005.0,1,Licenciatura Plena Para A Formação De Professores,1989.0,1.0,Manufatura Integrada Por Computador,2004.0,1.0,,,
Química,1999.0,1,Licenciatura Plena Para A Graduação De Professores,1990.0,1.0,Mathematical And Computational Modeling,2016.0,1.0,,,
Química,2004.0,1,Licenciatura Plena Para A Graduação De Professores,1993.0,1.0,Mestrado Multicêntrico Em Química,2020.0,1.0,,,
Quimica,2001.0,1,Licenciatura Plena Para Ensino De Segundo Grau Mod,1990.0,1.0,Mestrado Multicêntrico Em Química,2021.0,1.0,,,
Pós-médio Meio Ambiente,2006.0,1,Licenciatura Plena Para Formação De Professores,1996.0,1.0,Mestrado Multicêntrico Em Química/ppgmq-mg - Belo Horizonte.,2021.0,1.0,,,
Mecânica Industrial,2000.0,1,Licenciatura Plena Para Graduação De Professores,1991.0,1.0,Modelagem E Controle De Sistemas,2015.0,1.0,,,
Planejamento E Gestão Em Tecnologia Da Informação,2009.0,1,Licenciatura Plena Para Graduação Professores 2o G,1991.0,1.0,"Tecnologia, Educação Tecnológica",1996.0,1.0,,,
Mecânica Industrial,2010.0,1,Programa Especial De Formação De Docente,1994.0,1.0,,,,,,
Mecânica Industrial,2011.0,1,Licenciatura Plena/esquema 1,1997.0,1.0,,,,,,
Mecânica Industrial,2012.0,1,Licendiatura Plena Para Graduação De Professores,1988.0,1.0,,,,,,
Meio Ambiente,1999.0,1,Normalização E Qualidade Industrial,2009.0,1.0,,,,,,
Meio Ambiente,2003.0,1,Prog.esp. De Formação Pedagógica De Docentes,2009.0,1.0,,,,,,
Meio Ambiente,2004.0,1,Programa Especial De Formação De Docente,1983.0,1.0,,,,,,
Meio Ambiente,2005.0,1,Programa Especial De Formação De Docente,1990.0,1.0,,,,,,
Meio Ambiente,2007.0,1,Programa Especial De Formação De Docente,1993.0,1.0,,,,,,
