CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Eletrônica,1998.0,2.0,Tecnologia Em Radiologia,2009.0,4,Educação Tecnológica,2014.0,5.0,Engenharia Mecânica,2016.0,1.0
Eletrônica,1997.0,2.0,Engenharia De Produção Civil,2006.0,4,Tecnologia,2004.0,5.0,Física,2020.0,1.0
Edificações,2000.0,2.0,Engenharia Elétrica,1995.0,4,Educação Tecnológica,2019.0,5.0,Estudos Literários,2018.0,1.0
Mecânica,2007.0,2.0,Engenharia De Produção Civil,2017.0,3,Engenharia Mecânica,2018.0,5.0,Física E Astronomia,2020.0,1.0
Eletrotécnica,2010.0,2.0,Ciência Da Computação,2005.0,3,Engenharia Da Energia - Cefet/mg - Ufsj,2017.0,5.0,Genética,2018.0,1.0
Eletrônica,1994.0,2.0,Ciência Da Computação,2004.0,3,Química,2017.0,4.0,Engenharia Mecânica,2014.0,1.0
Informática Industrial,2003.0,2.0,Engenharia Mecatrônica,2014.0,3,Educação Tecnológica,2013.0,4.0,Genética E Melhoramento De Plantas,2021.0,1.0
Edificações,1984.0,2.0,Engenharia Civil,2006.0,3,Educação Tecnológica,2015.0,4.0,Geografia,2012.0,1.0
Química Industrial,2000.0,2.0,Ciência Da Computação,2011.0,3,Engenharia De Materiais,2014.0,4.0,Engenharia Mecânica,2013.0,1.0
Química,2014.0,2.0,Ciência Da Computação,2012.0,3,Ciências Da Computação,2012.0,4.0,Evolução Crustal E Recursos Naturais,2005.0,1.0
Química,2007.0,2.0,Ciência Da Computação,2013.0,3,Engenharia Da Energia - Cefet/mg - Ufsj,2019.0,4.0,Engenharia Metalúrgica E De Minas,2002.0,1.0
Química Industrial,2002.0,2.0,Letras,2007.0,3,Engenharia Da Energia - Cefet/mg - Ufsj,2018.0,4.0,Engenharia Metalúrgica,2017.0,1.0
Turismo E Lazer,2006.0,2.0,Engenharia Civil,2014.0,3,Engenharia Civil,2020.0,4.0,Estatística,2017.0,1.0
Química Industrial,1981.0,2.0,Nutrição,2008.0,3,Engenharia Elétrica,2003.0,4.0,Engenharia Metalúrgica E De Minas,2008.0,1.0
Química Industrial,1996.0,2.0,Letras,2009.0,3,Engenharia Elétrica,2013.0,4.0,Engenharia Metalúrgica E De Minas,2006.0,1.0
Química Industrial,2005.0,2.0,Engenharia Elétrica,2000.0,3,Estudos De Linguagens,2021.0,4.0,Engenharia Metalúrgica E De Minas,2004.0,1.0
 Mecânico,1980.0,2.0,Ciência Da Computação,2009.0,3,Engenharia Elétrica,2006.0,4.0,Engenharia Química,2016.0,1.0
Química,1999.0,1.0,Engenharia Mecatrônica,2013.0,3,Engenharia Mecânica,2015.0,4.0,Engenharia Química,2021.0,1.0
Mecânica,1999.0,1.0,Engenharia De Produção Civil,2015.0,3,Tecnologia,2005.0,4.0,Ensino E Divulgação Das Ciências,2021.0,1.0
Saneamento,2001.0,1.0,Tecnologia Em Radiologia,2007.0,3,Engenharia Mecânica,2014.0,4.0,Estatística,2015.0,1.0
