Identificador,Cidade de Origem,Estado de Origem,País de Origem,Instituição de Atuação,Cidade de Atuação,Estado de Atuação,País de Atuação
0631558505207317,Itaúna,MG,Brasil,Universidade do Estado de Minas Gerais
0643030653806512,Belo Horizonte,MG,Brasil,"Conselho Regional de Engenharia, Arquitetura e Agronomia de Minas Gerais",Belo Horizonte,MG,Brasil
0655100159335962,Belo Horizonte,MG,Brasil,Pontifícia Universidade Católica de Minas Gerais,Belo Horizonte,MG,Brasil
0661827429605846,Contagem,MG,Brasil,Tribunal Regional do Trabalho da 3ª Região
0667848420866221,BELO HORIZONTE,MG,Brasil,Petrobras Transporte S/A - Transpetro,Rio de Janeiro,RJ,Brasil
0700158294516288,Congonhas,MG,Brasil,Universidade Federal de Juiz de Fora,Juiz de Fora,MG,Brasil
0720534218203801,Belo Horizonte,MG,Brasil,Pontifícia Universidade Católica de Minas Gerais,Belo Horizonte,MG,Brasil
0725800206328814,Jequitinhonha,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
0783179484317105,São Paulo,SP,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
0951174312888313,Belo Horizonte,MG,Brasil,Centro Universitário UNA
0976210016960340,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
1004602872315324,Belo Horizonte,MG,Brasil,Universidade Federal de Ouro Preto
1021637321450049,Goiânia,GO,Brasil,"Instituto Federal de Educação, Ciência e Tecnologia de Goiás",Goiânia,GO,Brasil
1025488431740232,BOM DESPACHO,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
1114741703148406,Florestal,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
1122087285483382,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
1150050058028878,Piumhi,MG,Brasil,Centro Universitário de Belo Horizonte
1172487603215469,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
1184490161532508,Sete Lagoas,MG,Brasil,Instituto Brasileiro do Meio Ambiente e dos Recursos Renováveis - SEDE,Belo Horizonte,MG,Brasil
1202901189979381,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais
1227625992961768,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
1242222773214809,Belo Horizonte,MG,Brasil,Instituto Guaicuy - SOS Rio das Velhas,Belo Horizonte,MG,Brasil
1302666258264971,BELO HORIZONTE,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
1314034018345171,Itabira,MG,Brasil,AGENCIA NACIONAL DO PETROLEO,Brasília,DF,Brasil
1331652492006790,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
1340927379186239,Belo Horizonte,MG,Brasil,Centro de Tecnologia da Informação Renato Archer,Campinas,SP,Brasil
1358275083432388,Belo Horizonte,MG,Brasil,Instituto Modal
1383558830607731,Anápolis,GO,Brasil,Instituto Federal do Triângulo Mineiro,Paracatu,MG,Brasil
1417352534474752,Belo Horizonte,MG,Brasil,"Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo",Cariacica,ES,Brasil
1442485713184411,Dom Joaquim,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
1442633946419132,Belo Horizonte,MG,Brasil,Universidade Federal de Lavras
1450315526694205,BELO HORIZONTE,MG,Brasil,Fundação Centro Tecnológico de Minas Gerais,Belo Horizonte,MG,Brasil
1472669413938036,Itambacurí,MG,Brasil,Instituto Federal do Espírito Santo,Serra,ES,Brasil
1474354164985290,Divinópolis,MG,Brasil,Universidade Federal de Lavras
1478736054440106,Belo Horizonte,MG,Brasil,Pontifícia Universidade Católica de Minas Gerais,Belo Horizonte,MG,Brasil
1478880673552570,Divinópolis,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Divinópolis,MG,Brasil
1533023906217976,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
1540611751655281,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais
1565181845151740,Coronel Fabriciano,MG,Brasil,Universidade Federal de São João Del-Rei,Ouro Branco,MG,Brasil
1584173805850799,Formiga,MG,Brasil,Universidade Federal de Viçosa,Florestal,MG,Brasil
1590582190508214,Recife,PE,Brasil,Instituto Federal de Pernambuco,Recife,PE,Brasil
1593707716553548,Belo Horizonte,MG,Brasil,Universidade do Estado de Minas Gerais,Ibirité,MG,Brasil
1602882799122496,Belo Horizonte,MG,Brasil,Faculdade de Nova Serrana
1618821921549627,Desterro de Entre Rios,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Betim,MG,Brasil
1627980643177582,Pains,MG,Brasil,Instituto Federal  Minas Gerais,Formiga,MG,Brasil
1636694038972802,Timóteo,MG,Brasil,Universidade Federal de Viçosa
1643410432837277,Belo Horizonte,MG,Brasil,Universidade Federal de Ouro Preto,João Monlevade,MG,Brasil
1654772916093941,Leopoldina,MG,Brasil,Universidade Federal de Ouro Preto,Ouro Preto,MG,Brasil
1703448583267910,Belo Horizonte,MG,Brasil,Departamento Municipal de Habitação da Prefeitura de Porto Alegre,Porto Alegre,RS,Brasil
1708501733558544,Belo Horizonte,MG,Brasil,Instituto Cultural Inhotim,Brumadinho,MG,Brasil
1729879819280874,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
1767234297647906,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais
1835449945133209,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
1841799475396072,Divinópolis,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Divinópolis,MG,Brasil
1858596002181893,Ouro Branco,MG,Brasil,Universidade Estadual de Campinas,Campinas,SP,Brasil
1868816663610134,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
1875326035463751,Belo Horizonte,MG,Brasil,Centro Universitário UNA,Belo Horizonte,MG,Brasil
1899356986619099,Belo Horizonte,MG,Brasil,
1920803055130348,Belo Horizonte,MG,Brasil,Universidade Federal de Ouro Preto,Ouro Preto,MG,Brasil
1959433482643214,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
1964198733092846,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais
1989081286274816,Belo Horizonte,MG,Brasil,Universidade Federal do Maranhão,Pinheiro,MA,Brasil
2003009101258670,Acarape,CE,Brasil,Instituto Federal do Ceará - Reitoria,Fortaleza,CE,Brasil
2003051305652723,Conselheiro Lafaiete,MG,Brasil,Centro Universitário Fumec - Faculdade de Engenharia e Arquitetura,Belo Horizonte,MG,Brasil
2021890970181321,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2039900917750691,Belo Horizonte,MG,Brasil,Universidade Anhembi Morumbi,São José dos Campos,SP,Brasil
2059026424367284,Belo Horizonte,MG,Brasil,Universidade Federal de Uberlândia,Patos de Minas,MG,Brasil
2109150393605727,Porangatu-GO,GO,Brasil,Pontifícia Universidade Católica de Goiás,Goiania,GO,Brasil
2157968516048040,Belo Horizonte,MG,Brasil,Universidade Federal de Ouro Preto,Ouro Preto,MG,Brasil
2168277444752193,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
2173798953418445,Itabirito,MG,Brasil,Universidade Federal de Ouro Preto,Ouro Preto,MG,Brasil
2202102584504407,Itinga,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2204279029918735,Belo Horizonte,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais
2264931829840693,São João do Manhaçu,MG,Brasil,Universidade Federal de Juiz de Fora,Juiz de Fora,MG,Brasil
2270334190661422,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2279435887416972,Belo Horizonte,MG,Brasil,Universidade Federal da Paraíba,João Pessoa,PB,Brasil
2297262157782323,Contagem,MG,Brasil,Universidade Federal do Triângulo Mineiro,Uberaba,MG,Brasil
2315264795654609,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais
2350999296977270,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais
2394009040939868,Belo Horizonte,MG,Brasil,Universidade Federal de São João Del-Rei,Ouro Branco,MG,Brasil
2395411911546232,Barbacena,MG,Brasil,Centro Federal de Educação Tecnológica de Minas Gerais,Belo Horizonte,MG,Brasil
