Identificador,ENSINO-MEDIO-SEGUNDO-GRAU,Instituição,Início,Fim,CURSO-TECNICO-PROFISSIONALIZANTE,Instituição,Início,Fim,GRADUACAO,Instituição,Início,Fim,ESPECIALIZACAO,Instituição,Início,Fim,MESTRADO,Instituição,Início,Fim,DOUTORADO,Instituição,Início,Fim
1340927379186239,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1975,1977,Ciencia Da Computacao,Departamento de Ciência da Computação,1978,1982,,,,,Ciências Da Computação,Departamento de Ciência da Computação,1983,1987,Engenharia Elétrica,Universidade Estadual de Campinas,2003,2006
1358275083432388,,,,,,Escola Politécnica de Minas Gerais,1999,2005,Ciencia Da Computação,Centro Universitário de Belo Horizonte,2005,2011,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2011,2013,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2013,2018
1383558830607731,,,,,,,,,Ciência Da Computação,Centro Universitário de Anápolis,2005,2008,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2011,2013,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2014,2019
1417352534474752,,,,,Eletromecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1983,1985,Engenharia Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1986,1990,,,,,Engenharia Mecânica,Universidade Federal do Espírito Santo,2007,2009,Engenharia Metalúrgica,Universidade de São Paulo,2012,2017
1442485713184411,,,,,,,,,Engenharia Industrial Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,1979,1984,,,,,Engenharia Mecânica,Universidade Federal de Minas Gerais,2005,2006,Engenharia Mecânica,Universidade Federal de Minas Gerais,2007,2010
1442633946419132,,,,,,,,,Química Tecnológica,Centro Federal de Educação Tecnológica de Minas Gerais,2006,2010,,,,,Engenharia Metalúrgica E De Minas,Universidade Federal de Minas Gerais,2011,2013, De Pós-graduação Em Engenharia Metalúrgica E De Minas (cpgem),Universidade Federal de Minas Gerais,2013,2017
1450315526694205,,,,,,,,,Licenciatura Plena Da Parte De Formação Especial D,Centro Federal de Educação Tecnológica de Minas Gerais,1994,1994,,,,,Engenharia Metalúrgica E De Minas,Universidade Federal de Minas Gerais,1997,1999,Engenharia Metalúrgica E De Minas,Universidade Federal de Minas Gerais,2003,2008
1472669413938036,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1989,1992,Administração,Universidade Federal de Mato Grosso do Sul - CEUC,1994,1999,,,,,Administração,Universidade Federal do Espírito Santo,2010,2012,Administração,Universidade Federal do Espírito Santo,2015,2019
1474354164985290,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2005,2007,Agronomia,Universidade Federal de Viçosa,2009,2014,,,,,Genética E Melhoramento De Plantas,Universidade Federal de Lavras,2015,2017,Genética E Melhoramento De Plantas,Universidade Federal de Lavras,2017,2021
1478736054440106,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1988,1990,Engenharia Elétrica,Pontificia Universidade Catolica de Minas Gerais,1991,1996,,,,,Engenharia Elétrica,Universidade Federal de Minas Gerais,1996,1998,Engenharia Elétrica,Universidade Federal de Minas Gerais,2004,2008
1478880673552570,,,,,,,,,Engenhari Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,2004,2008,,,,,Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,2009,2011,Programa De Pós-graduação Em Engenharia Elétrica,Universidade Federal de Minas Gerais,2013,2018
1533023906217976,,,,,,,,,Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1992,1997,,,,,Engenharia Elétrica,Universidade Federal de Minas Gerais,1998,2000,Engenharia Elétrica,Universidade Federal de Minas Gerais,2001,2005
1540611751655281,,,,,,,,,Química Tecnológica,Centro Federal de Educação Tecnológica de Minas Gerais,2008,2013,,,,,Química,Universidade Federal de Minas Gerais,2013,2015,Quimica,Universidade Federal de Minas Gerais,2016,2020
1565181845151740,,,,,Eletrotécnica,Centro Federal de Educação Tecnológica de Minas Gerais,1993,1996,Matemática Computacional,Universidade Federal de Minas Gerais,1998,2002,,,,,Matemática,Universidade Federal de Minas Gerais,2003,2004,Engenharia Elétrica,Universidade Federal de Minas Gerais,2009,2011
1584173805850799,,,,,,,,,Ciência Da Computação,Centro Universitário de Formiga,1999,2002,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2005,2007,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2013,2019
1590582190508214,,,,,,Escola Técnica Federal de Pernambuco,1964,1967,Licenciatura Plena Para Graduação De Professores,Centro Federal de Educação Tecnológica de Minas Gerais,1990,1991,,,,,Engenharia Urbana,Universidade Federal da Paraíba,2004,2006,Engenharia Química,Universidade Federal de Pernambuco,2008,2011
1593707716553548,,,,,Turismo E Lazer,Centro Federal de Educação Tecnológica de Minas Gerais,2000,2002,Educação Física,Universidade Federal de Minas Gerais,2005,2008,,,,,Educação Física,Universidade Estadual de Campinas,2009,2011,"Programa De Pós-graduação Em Educação: Conhecimento E Inclusão Social, Da F",Universidade Federal de Minas Gerais,2014,2017
1602882799122496,,,,,,,,,Engenharia Sanitária E Ambiental,Centro Federal de Educação Tecnológica de Minas Gerais,2020,,,,,,Tecnologia Manufatura Integrada Por Computador,Centro Federal de Educação Tecnológica de Minas Gerais,2002,2004,Administração,Universidade Federal de Minas Gerais,2012,2017
1618821921549627,,,,,,,,,Sistemas De Informaçao,Pontifícia Universidade Católica de Minas Gerais,2003,2007,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2013,2015,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2015,2021
1627980643177582,,,,,,,,,Matemática,Universidade Federal de Lavras,2007,2011,,,,,Matemática,Universidade Federal de Viçosa,2011,2013,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2017,
1636694038972802,,,,,Química Industrial,Centro Federal de Educação Tecnológica de Minas Gerais,2005,2007,Engenharia Química,Centro Universitário do Leste de Minas Gerais,2009,2014,,,,,Agroquímica,Universidade Federal de Viçosa,2016,2017,Agroquímica,Universidade Federal de Viçosa,2017,
1643410432837277,,,,,Téc Em Eletrônica,Escola Estadual Tecnico Industrial Professor Fontes,1991,1994,Física-licenciatura,Universidade Federal de Minas Gerais,1999,2005,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2006,2008,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2013,2018
1654772916093941,,,,,Informática - Sistemas De Análise Da Informação,Centro Federal de Educação Tecnológica de Minas Gerais,1997,2000,Turismo,Universidade Federal de Ouro Preto,2001,2005,Ecoturismo: Planejameto E Gestão De Atividades[..],Universidade Federal de Lavras,2006,,"Geografia- Organização,gestão E Produção Do Espaço",Universidade Federal de Minas Gerais,2006,2008,Geografia,Universidade Federal de Minas Gerais,2008,2012
1703448583267910,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1983,1985,Engenharia Civil,Universidade Federal de Minas Gerais,1986,1990,,,,,Recursos Hídricos E Saneamento Ambiental,Universidade Federal do Rio Grande do Sul,1991,1993,Recursos Hídricos E Saneamento Ambiental,Universidade Federal do Rio Grande do Sul,1996,2004
1708501733558544,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2005,2008,Comunicação Social / Relações Públicas,Centro Universitário Newton Paiva,2008,2011,,,,,Comunicação Social,Universidade Federal de Minas Gerais,2013,2015,Comunicação Social,Universidade Federal de Minas Gerais,2015,2019
