Origem,Destino
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Comunicação Social - Habilitação Em Jornalismo,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudo De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade do Estado de Minas Gerais/GRADUACAO/Educação Artística - Música
Universidade do Estado de Minas Gerais/GRADUACAO/Educação Artística - Música,Universidade Federal de Minas Gerais/MESTRADO/Artes
Universidade Federal de Minas Gerais/MESTRADO/Artes,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Química Tecnológica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Química Tecnológica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Química
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Química,Universidade Federal de Minas Gerais/DOUTORADO/Programa De Pós-graduaçãoemengenharia Química - Ufmg
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica,Instituto Tecnológico de Aeronáutica/DOUTORADO/Engenharia Aeronâutica E Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Fundação Universidade de Itaúna/GRADUACAO/Química
Fundação Universidade de Itaúna/GRADUACAO/Química,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais,Universidade Federal de Minas Gerais/DOUTORADO/Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Metalúrgica E De Minas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica Com Ênfase Mecatrônica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica Com Ênfase Mecatrônica,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Mecânica
Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Mecânica,UFMG/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Elétrica
None/MESTRADO/None,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Abi - Ciências Sociais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Abi - Ciências Sociais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Abi - Ciências Sociais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Abi - Ciências Sociais
Universidade Federal de Minas Gerais/GRADUACAO/Abi - Ciências Sociais,Universidade Federal de Pernambuco/MESTRADO/Desenvolvimento E Meio Ambiente
Universidade Federal de Pernambuco/MESTRADO/Desenvolvimento E Meio Ambiente,Universidade Federal do Rio de Janeiro/DOUTORADO/Psicossociologia De Comunid.e Ecologia Social
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Juiz de Fora/GRADUACAO/Engenharia Elétrica
Universidade Federal de Juiz de Fora/GRADUACAO/Engenharia Elétrica,Universidade Federal de Juiz de Fora/MESTRADO/Engenharia Elétrica
Universidade Federal de Juiz de Fora/MESTRADO/Engenharia Elétrica,Universidade Federal de Juiz de Fora/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licendiatura Plena Para Graduação De Professores
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licendiatura Plena Para Graduação De Professores,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecänica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecänica,Pontifícia Universidade Católica de Minas Gerais/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade do Vale do Paraíba/GRADUACAO/Engenharia Civil
Universidade do Vale do Paraíba/GRADUACAO/Engenharia Civil,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil,Universidade Federal de Ouro Preto/DOUTORADO/Geotecnia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil,Universidade Federal de Minas Gerais/MESTRADO/Construção Civil
