Origem,Destino
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Programa De Pós-graduação Em Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Física
Universidade Federal de Minas Gerais/GRADUACAO/Física,Universidade Federal de Minas Gerais/MESTRADO/Ciências Técnicas Nucleares
Universidade Federal de Minas Gerais/MESTRADO/Ciências Técnicas Nucleares,Universidade Federal de Minas Gerais/DOUTORADO/Ciências Técnicas Nucleares
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Controle E Automação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Controle E Automação
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Controle E Automação,Universidade Federal de Juiz de Fora/MESTRADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecânica,Instituto Tecnológico de Aeronáutica/MESTRADO/Ciências E Tecnologias Espaciais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Controle E Automação
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Controle E Automação,Universidade Federal de Juiz de Fora/MESTRADO/Engenharia Elétrica
Universidade Federal de Juiz de Fora/MESTRADO/Engenharia Elétrica,Universidade Federal de Juiz de Fora/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Da Energia - Cefet/mg - Ufsj
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação
Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação,Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade de São Paulo/GRADUACAO/Letras - Português
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário de Belo Horizonte/GRADUACAO/Ecologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário de Belo Horizonte/GRADUACAO/Ecologia
Centro Universitário de Belo Horizonte/GRADUACAO/Ecologia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Sistemas De Informação
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Sistemas De Informação,Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Para Graduação De Professores
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Mestrado Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica,Universidade FUMEC/MESTRADO/Administração
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Lavras/GRADUACAO/Ciência Da Computação
Universidade Federal de Lavras/GRADUACAO/Ciência Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Fundação Educacional Monsenhor Messias/GRADUACAO/Licenciatura Plena Em Matemática
Fundação Educacional Monsenhor Messias/GRADUACAO/Licenciatura Plena Em Matemática,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade do Vale do Paraíba/GRADUACAO/Arquitetura
Universidade do Vale do Paraíba/GRADUACAO/Arquitetura,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil,Universidade Federal de Ouro Preto/DOUTORADO/Geotecnia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidad Autónoma de Santo Domingo/GRADUACAO/Ingenieria Civil
Universidad Autónoma de Santo Domingo/GRADUACAO/Ingenieria Civil,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação
Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação,Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Engenharia De Minas
Universidade Federal de Ouro Preto/GRADUACAO/Engenharia De Minas,Universidade Federal de Ouro Preto/MESTRADO/Engenharia Mineral
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Farmácia
Universidade Federal de Minas Gerais/GRADUACAO/Farmácia,Universidade Federal de Minas Gerais/MESTRADO/Saúde Pública
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil,Universidade Federal de Minas Gerais/MESTRADO/Construção Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil,Universidade Federal de Minas Gerais/MESTRADO/Construção Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais,"Centro de Desenvolvimento da Tecnologia Nuclear/MESTRADO/Ciência E Tecnologia Das Radiações, Minerais E Materiais"
"Centro de Desenvolvimento da Tecnologia Nuclear/MESTRADO/Ciência E Tecnologia Das Radiações, Minerais E Materiais",Universität Konstanz/DOUTORADO/Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Farmácia
Universidade Federal de Minas Gerais/GRADUACAO/Farmácia,Universidade Federal de Minas Gerais/MESTRADO/Ciênc.da Saúde (infectologia E Medicina Tropical)
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade FUMEC/GRADUACAO/Pedagogia
Universidade FUMEC/GRADUACAO/Pedagogia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Jornalismo (29901)
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Jornalismo (29901),Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Estadual de Campinas/GRADUACAO/Filosofia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Automação Industrial
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Automação Industrial,Universidade Estadual de Campinas/MESTRADO/Filosofia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade do Estado de Minas Gerais/GRADUACAO/Pedagogia
Universidade do Estado de Minas Gerais/GRADUACAO/Pedagogia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Faculdade Internacional Signorelli/GRADUACAO/Matemática - Complementação Pedagógica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Faculdade Internacional Signorelli/GRADUACAO/Matemática - Complementação Pedagógica
Faculdade Internacional Signorelli/GRADUACAO/Matemática - Complementação Pedagógica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Química
Universidade Federal de Minas Gerais/GRADUACAO/Química,"Centro de Desenvolvimento da Tecnologia Nuclear/MESTRADO/C & T Das Radiações, Minerais E Materiais"
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação
Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação,Universidade Federal de Minas Gerais/MESTRADO/Ciência Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Física
Universidade Federal de Minas Gerais/GRADUACAO/Física,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Ciências
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Ciências,Universidade Federal de Minas Gerais/MESTRADO/Mestrado Profissional Em Ensino De Biologia Em Rede Nacional 32001010175p5
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Instituto Militar de Engenharia/GRADUACAO/Engenharia Mecanica E De Automóveis
Instituto Militar de Engenharia/GRADUACAO/Engenharia Mecanica E De Automóveis,Instituto Militar de Engenharia/MESTRADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Química
Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Química,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engeharia Mecanica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engeharia Mecanica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil,Universidade Federal de Uberlândia/MESTRADO/Engenharia Mecânica
Universidade Federal de Uberlândia/MESTRADO/Engenharia Mecânica,Universidade Federal de Uberlândia/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,FAVENI-FACULDADE VENDA NOVA DO IMIGRANTE/GRADUACAO/Matemática - Licenciatura
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,FAVENI-FACULDADE VENDA NOVA DO IMIGRANTE/GRADUACAO/Matemática - Licenciatura
FAVENI-FACULDADE VENDA NOVA DO IMIGRANTE/GRADUACAO/Matemática - Licenciatura,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Química
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Química,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Química
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Química,Lappeenranta University of Technology/DOUTORADO/Sustainable Energy Systems
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Instituto Educacional Cecília Maria de Melo Barcelos/GRADUACAO/Letras
Instituto Educacional Cecília Maria de Melo Barcelos/GRADUACAO/Letras,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Controle E Automação
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Controle E Automação,Universidade Federal de Juiz de Fora/MESTRADO/Engenharia Elétrica
Universidade Federal de Juiz de Fora/MESTRADO/Engenharia Elétrica,Universidade Federal de Juiz de Fora/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Relações Internacionais
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Relações Internacionais,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Relações Internacionais
Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Relações Internacionais,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudo De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação
Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação,Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Mecânica
Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Da Energia - Cefet/mg - Ufsj
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Da Energia - Cefet/mg - Ufsj,Universidade Federal de Minas Gerais/DOUTORADO/Programa De Pós-graduação Em Engenharia Mecânica - Ufmg
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação
Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação,Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Lavras/GRADUACAO/Administração De Empresas Rurais E Cooperativas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação Pedagógica Docentes
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação Pedagógica Docentes,Universidade Federal de Viçosa/MESTRADO/Extensão Rural
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Nutrição
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Nutrição
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Química Tecnológica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Química Tecnológica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Programa De Pós Graduação Multicêntrico Em Química De Minas Gerais
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Programa De Pós Graduação Multicêntrico Em Química De Minas Gerais,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Programa De Pós Graduação Multicêntrico Em Química De Minas Gerais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Ensino Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Ensino Química
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Ensino Química,Universidade Federal de Minas Gerais/MESTRADO/
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Fundação Universidade de Itaúna/GRADUACAO/Quimica
Fundação Universidade de Itaúna/GRADUACAO/Quimica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Produção Civil,"Universidade Federal de Minas Gerais/MESTRADO/Saneamento, Meio Ambiente E Recursos Hídricos"
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia De Energia
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia De Energia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Da Energia - Cefet/mg - Ufsj
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação
Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação,Universidade Federal de Minas Gerais/MESTRADO/Ciência Da Informação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal do Espírito Santo/GRADUACAO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Para A Formação De Professores
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciatura Plena Para A Formação De Professores,Instituto Superior Pedagógico para la Educación Técnica y Profesional/MESTRADO/Maestría En Pedagogía Profesional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Ciência Da Computação
Universidade Federal de Ouro Preto/GRADUACAO/Ciência Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia,Universidade Federal de Minas Gerais/DOUTORADO/Gestão & Organização Do Conhecimento
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciencias Biológicas
Universidade Federal de Minas Gerais/GRADUACAO/Ciencias Biológicas,Universidade Federal de Minas Gerais/MESTRADO/Biologia Vegetal
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Metalúrgica
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Metalúrgica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais,Universidade Federal de Minas Gerais/DOUTORADO/Quimica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Faculdade de Ciências Econômicas Administrativas e Contábeis de Belo Horizo/GRADUACAO/Administração De Empresas
Faculdade de Ciências Econômicas Administrativas e Contábeis de Belo Horizo/GRADUACAO/Administração De Empresas,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Computação
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Letras
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Letras
Universidade Federal de Minas Gerais/GRADUACAO/Letras,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica,Universidade Federal de Minas Gerais/DOUTORADO/Programa De Pós-graduação Em Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Anhanguera Educacional/GRADUACAO/Tecnologia Em Mecatrônica Industrial
Anhanguera Educacional/GRADUACAO/Tecnologia Em Mecatrônica Industrial,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Matemática
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Matemática,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Elétrica
Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Elétrica,Universidade Federal de São João Del-Rei/MESTRADO/Engenharia Elétrica (ufsj / Cefet-mg)
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Comunicação Social - Relações Públicas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Comunicação Social - Relações Públicas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Comunicação Social - Relações Públicas
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Comunicação Social - Relações Públicas,Universidade Federal de Minas Gerais/MESTRADO/Administração
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/História
Universidade Federal de Minas Gerais/GRADUACAO/História,Universidade Estadual de Campinas/MESTRADO/Educação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Elétrica
Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Sistemas De Controle
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Sistemas De Controle,Universidade Federal do Espírito Santo/DOUTORADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Física
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica
