Identificador,ENSINO-MEDIO-SEGUNDO-GRAU,Instituição,Início,Fim,CURSO-TECNICO-PROFISSIONALIZANTE,Instituição,Início,Fim,GRADUACAO,Instituição,Início,Fim,ESPECIALIZACAO,Instituição,Início,Fim,MESTRADO,Instituição,Início,Fim,DOUTORADO,Instituição,Início,Fim
1442633946419132,,,,,,,,,Química Tecnológica,Centro Federal de Educação Tecnológica de Minas Gerais,2006,2010,,,,,,,,,,,,
1450315526694205,,,,,,,,,Licenciatura Plena Da Parte De Formação Especial D,Centro Federal de Educação Tecnológica de Minas Gerais,1994,1994,,,,,,,,,,,,
1472669413938036,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1989,1992,,,,,,,,,,,,,,,,
1474354164985290,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2005,2007,,,,,,,,,,,,,,,,
1478736054440106,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1988,1990,,,,,,,,,,,,,,,,
1478880673552570,,,,,,,,,Engenhari Industrial Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,2004,2008,,,,,Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,2009,2011,,,,
1533023906217976,,,,,,,,,Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,1992,1997,,,,,,,,,,,,
1540611751655281,,,,,,,,,Química Tecnológica,Centro Federal de Educação Tecnológica de Minas Gerais,2008,2013,,,,,,,,,,,,
1565181845151740,,,,,Eletrotécnica,Centro Federal de Educação Tecnológica de Minas Gerais,1993,1996,,,,,,,,,,,,,,,,
1584173805850799,,,,,,,,,,,,,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2005,2007,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2013,2019
1590582190508214,,,,,,,,,Licenciatura Plena Para Graduação De Professores,Centro Federal de Educação Tecnológica de Minas Gerais,1990,1991,,,,,,,,,,,,
1593707716553548,,,,,Turismo E Lazer,Centro Federal de Educação Tecnológica de Minas Gerais,2000,2002,,,,,,,,,,,,,,,,
1602882799122496,,,,,,,,,Engenharia Sanitária E Ambiental,Centro Federal de Educação Tecnológica de Minas Gerais,2020,,,,,,Tecnologia Manufatura Integrada Por Computador,Centro Federal de Educação Tecnológica de Minas Gerais,2002,2004,,,,
1618821921549627,,,,,,,,,,,,,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2013,2015,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2015,2021
1627980643177582,,,,,,,,,,,,,,,,,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2017,
1636694038972802,,,,,Química Industrial,Centro Federal de Educação Tecnológica de Minas Gerais,2005,2007,,,,,,,,,,,,,,,,
1643410432837277,,,,,,,,,,,,,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2006,2008,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2013,2018
1654772916093941,,,,,Informática - Sistemas De Análise Da Informação,Centro Federal de Educação Tecnológica de Minas Gerais,1997,2000,,,,,,,,,,,,,,,,
1703448583267910,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,1983,1985,,,,,,,,,,,,,,,,
1708501733558544,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2005,2008,,,,,,,,,,,,,,,,
1729879819280874,,,,,,,,,,,,,,,,,Tecnologia,Centro Federal de Educação Tecnológica de Minas Gerais,2001,2003,,,,
1767234297647906,,,,,,,,,Engenharia Mecânica,Centro Federal de Educação Tecnológica de Minas Gerais,2020,,,,,,Engenharia De Materiais,Centro Federal de Educação Tecnológica de Minas Gerais,2013,2015,,,,
1835449945133209,,,,,,,,,Controle De Processos Industrais,Centro Federal de Educação Tecnológica de Minas Gerais,2010,2011,,,,,Manufatura Integrada Por Computador,Centro Federal de Educação Tecnológica de Minas Gerais,1995,1998,,,,
1841799475396072,,,,,,,,,Engenharia Mecatrônica,Centro Federal de Educação Tecnológica de Minas Gerais,2008,2013,,,,,Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais,2013,2015,,,,
1858596002181893,,,,,,,,,,,,,,,,,Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais,2006,2009,,,,
1868816663610134,,,,,,Centro Federal de Educação Tecnológica de Minas Gerais,2001,2004,Radiologia,Centro Federal de Educação Tecnológica de Minas Gerais,2004,2006,,,,,,,,,,,,
