Identificador,Pontuação
1238299628167143,1
1252732662883971,1
,1
1266249605041426,1
1275034972973955,1
1276127585057279,1
1282191005231137,1
1283844646664824,1
1287037438755213,1
1290062079550563,1
1301401847766648,1
,1
1324310163153913,2
1328727308410613,1
1329221544511183,1
1332893316117790,1
,1
1363739094223349,1
1372108153710461,1
1379304811913325,1
1390883183533995,4
1396911735630398,1
1404004205953061,1
1415986284851277,1
1423763327062871,1
1427826465969764,2
1431490724795666,1
1432663875471461,1
1435859259175712,1
,1
1439694073769282,1
1444868348195683,1
1464266002697780,1
1477771427435755,1
1480319715712788,1
1494732192723550,1
1506020541413462,1
1522159254378282,1
1526280811638726,1
1531336434793235,1
1554075027939148,4
1563638040146269,1
1573980895176708,1
,3
1593442852811984,1
1599776456677986,1
1601775261467908,3
1622103014584344,1
1669829122518965,1
1683584979545655,2
1692444921140698,1
1695707605370505,1
1697360854483129,1
1708297195616563,1
1711504085932462,1
1718222468226498,2
,1
1761688035064573,2
1766876176174618,1
1772897691730340,2
,2
1800299836312312,2
1809518323486161,1
1827976076406922,1
1852118704083716,1
1877364237481935,1
1878516283257586,2
1901604582280255,1
1906169396242615,2
1917756701553236,2
1937277722088735,1
1964961104813698,1
1974028012630476,1
1975444042516112,2
1978817265232430,1
1986189336156013,2
2003401420560517,1
2008583007374238,1
2008935354036411,1
2010876706967166,1
2013963210183179,1
2024659554070706,1
2032947203562412,1
2040000266243045,1
2048913618387088,1
2051644230081507,2
2069887726693313,1
2091585655985040,1
2096918951262044,2
2123325509234959,1
2124125370924596,1
2125546646444157,1
2126910460058187,2
2131079198730245,1
2140526622503930,1
2144149959344678,1
2194075706857465,1
2197857899640188,1
2230569940607272,1
2242832990672701,2
2256417926529064,1
2259523861506972,1
2269931395821473,1
2281677922123765,1
2291473631517096,1
2301283352020272,1
2312510245320635,1
2317350962670171,4
2318204298009091,1
2321273492529746,1
2336962444197912,1
2337135115128990,1
2350119548436236,1
2361965786456118,1
2362826914286436,1
2391912231168813,2
2417788526791168,1
2429767768059385,1
2432976251621877,1
2434973049449697,1
2437383978229180,1
2446943634856402,2
2467941813586075,1
2468792848483452,1
2470042161529791,1
2471503682452382,3
2480407038263678,2
2483745886634477,1
2487492878268160,1
2494588320470479,2
2524314931218984,3
2548727602635452,1
2549378970906577,1
2555908268730075,1
2558404482883025,1
2577360384787579,1
2596213555339570,1
2599853927123474,1
2600979663428736,3
2616184412589663,1
2641335528469578,1
2654167464300189,1
2656935769884783,1
2657611997561984,1
2660987045115947,1
2667669614557121,2
2670482696285478,2
2690197411054973,1
2690211893110047,1
2694859947129032,2
2714652578820025,1
2721065690935025,2
2729510253982265,1
2732440063809244,1
2752092709946949,1
2767706831655403,1
2773267607623633,1
2778009120055196,1
2782049353679342,1
2802399195435082,1
2818379217420655,1
2824296616017570,1
2835266110749495,1
2839995315735632,2
2848936013056351,2
2851917653284186,1
2858668822338393,1
2861453536925755,1
,1
2878208054935485,1
2926412944129786,1
2946853022703193,2
2956897481921887,1
3026403097875947,1
,1
3042356812432667,1
3048099949712724,2
3075025705902911,1
3080599323067847,1
3098381679699211,2
,1
3106151966029247,1
3114089977536821,1
3115225888349665,1
3129525430267816,2
3131498194646775,1
3142050074622017,1
3158704432920178,1
3158753093842978,1
3161727419447110,1
3166994571342750,1
3168868452701067,1
3173930764867082,1
3173964416432908,1
,1
3181876782200410,1
,1
3197122630312424,2
3203145710884215,1
3207345742868764,1
3214643130733589,1
3215532991560405,1
3217464806402403,1
3227613632772410,1
3235303599180562,1
3247455631640819,1
3272607526465335,4
3273779184595286,2
3284743091588125,1
3290426711406474,1
3290432533213763,2
3314237108804495,1
3332645418619207,1
3355393240818862,1
3357695743214577,1
3361523755118039,1
3374333308607200,1
3380668710552543,1
,1
3383857805480022,2
3384017730127280,1
3384643294915980,1
3389395334818755,1
3401132872711275,1
3429080587969176,2
3438020715507946,1
3446009953521845,1
3454080611072557,1
,1
3483687738272208,3
3498608481071346,1
3502657428016331,1
3503602133908678,2
,1
3530418442048073,1
3536800117922438,1
3541523468092231,1
3542862014639445,1
3549247509161138,1
3555430160971937,2
3561699656523437,1
3566463770625927,1
3588164145173921,1
,1
3593406625771169,1
3593500308202725,1
3609242107296023,1
3619616288788184,1
3626025291113904,1
3633605276340350,1
3640937997185331,1
,1
3658730495031068,1
3678144109350942,2
3679433073010488,2
3683951692822860,1
3701514880675300,2
3701773075891042,1
3712500889099199,1
3716560493783910,1
3732903864060193,2
3741425625234448,1
3746015031604765,1
3753152417603988,2
3753914447020308,1
3768762190710562,1
3769103216923143,1
3777331908349905,1
3780732438842593,4
3785560509588065,1
3801109897721196,1
3804277803300821,1
3812558776956468,1
,1
3816004844908052,1
3816823247759562,1
3819123434422840,1
3820958597707901,2
3822621063448346,1
3822922081587117,2
3827416188383499,1
3860012964182208,1
3877179793999176,2
3879634832607156,1
3893675495288603,1
3897316408843767,1
3901100267135901,1
3902921235931665,1
3903295289488444,2
3912402486148097,1
,1
3929500794368395,1
3934019582598385,2
3939492065933937,1
3940869356791013,1
3944003429399737,1
3951904798639045,1
3958616303043942,1
3962210748005195,1
3968178583898140,1
3970364454755147,2
3981316891519635,1
3993596384035285,1
3997441706736172,1
3998743892503699,1
4011876511724599,1
4015979850041122,1
,1
,2
4033985075685023,1
4041165991466435,1
4042083363433603,2
4043943496035954,1
4051747910475703,1
4062802367989237,2
4063892372639134,3
4066601599785909,1
4073086963259949,2
4076132562533854,5
4079528074555281,1
4081332740765400,1
4087986218856677,3
4099771841639453,2
4103600774975142,1
4111887768071205,1
4113017062897401,1
4118274572113727,1
4133149591919065,1
4148560644440060,1
4160241755975383,1
4160696912723367,1
4165174989611695,1
4177740105153544,2
,1
4181476403202112,1
4186096587571511,2
4189263795838669,1
4210848804313468,1
4222377564959203,2
4239050644068438,1
4239314925513636,1
4252362272988875,1
,2
4265484403528911,1
,1
4283074963971874,1
4294802205300085,2
4304545444551660,3
4325582561181007,1
4332723786913534,1
4338246629029499,2
4341763615784674,1
4373059548375461,1
,1
4412572566624277,1
,1
4443432601871977,1
4453549380479243,2
4487211577813266,3
4500238036424665,1
4504589250197658,3
4508679646762464,1
4528635282626175,1
4530840116900566,1
4533031068447712,1
4546069313977800,1
4551952470979072,1
4552550214334379,1
4553553772075790,2
4563758203231227,1
4578101211935991,4
4581844090075900,1
4582617053265743,2
4591709510999495,1
4602902468636381,2
4623529591915058,1
4637687387433353,1
4638576041954572,2
4692910121435823,1
4698802008555776,1
,1
4701018309893636,1
4742150388442620,1
4746944995248173,2
4757198431789287,1
4764888630667027,1
4775183813721050,1
4775864389654132,1
4776066693489021,1
,1
,1
4804054094875262,1
4813954972640457,1
4813998304408421,1
4818224271131600,1
4831803680241547,1
,1
4841223140313794,1
4850976770292639,2
4854385475685930,1
4855078470841836,2
4863016331632918,2
,1
4865736903441417,1
4883678277285746,1
4885079876301512,1
4897980052334376,1
,1
4902995836474200,1
4906456349497668,1
4910542125006391,2
4916110634987353,1
4917859508658942,2
4919443884503279,2
,1
4950120946660572,1
4953902708828386,1
,1
4982331747689900,1
4983927179360310,2
4984843924680283,1
5001374012020696,1
5002279890831176,1
5003902346457680,1
5004215078144971,1
5043629582963130,2
5047509572507581,1
,1
5062976824165292,1
,1
,1
5108371783695940,1
5121609097417806,1
5128321601449310,2
5134896922194160,1
5135485313629719,1
5147014565893477,2
5150094883384479,1
5160225448535785,1
5183150146087742,1
5193597280200557,1
5203352863484832,1
5207237682502072,1
5214572901558066,1
5222836104073061,1
,1
5245173516583179,1
5261437566516289,1
5297454846841638,2
5300072325969500,1
5300714772644653,1
,1
5315353523763315,1
5330198281056984,1
5334685362325429,1
5341764231791401,3
5342590558585220,1
5346036684681734,1
5359194293683076,1
5360506225793795,2
5364556376864277,1
5366430761761403,2
5368786797964768,1
5378603097453617,1
5378621054402966,2
5378637011361467,2
,1
5385008920073930,1
5410951194001572,1
5413185584653271,2
,1
5417347744218706,1
5440375833019239,2
5447465770869257,1
5447910386941427,1
5452317638626286,2
5462502511106413,1
5474283781840409,1
5482915969861065,1
5484076790538972,1
5492360672919683,1
5513685845435190,1
5522969367464172,1
5529868238533531,2
5536137525718570,1
5548152975215795,1
5562628458031881,2
5567281297354709,1
5568050514668139,1
5590063719069600,1
5594280263936387,3
,1
5657095145377589,1
,1
5661208265419937,1
5710219791896692,1
,1
5786577642349029,2
5802108825109375,2
5807687035586527,1
5812715254599478,1
5824033836393142,2
5837032243650002,1
5850270323751381,1
5863295594903103,1
5867242583028077,1
5898384823708803,1
5903314112504848,1
,1
5909923010930365,1
5921370663237396,1
5939916179506404,1
5949169640645103,2
5959145002540320,1
5962232408936650,1
5972709152749623,1
5974443729372866,1
,1
5978277277690990,1
5987601110729512,1
5989647802301558,1
6012372743372278,1
6015458985035021,1
,1
6022403311752936,1
6029598095959350,1
6069453519116321,1
6071182225115070,1
6072273240800818,1
6074593470781731,1
6075633155495115,1
6092607703163228,1
6102325350521593,1
6107592518058030,1
6109924220347252,1
6110365771354188,1
6124071399114938,1
6155982718058492,3
6176423541721939,1
6188167549433610,1
6197510654514442,1
,1
6243353891930501,1
6253960242254048,2
6255249581918483,1
6268197959263779,1
6283571947278218,1
6292547555081852,1
6294620516500222,1
6296378422045365,2
6305690361528868,1
6306744704178353,1
6307348250257624,1
6315272547398051,1
6332739046722192,1
6339716838250739,1
6344421132782726,2
6347254071071364,2
6353159558108735,3
6356009710514102,1
6362147286323801,1
6371574270638272,1
6378129638579747,1
6399143901939413,1
6417409118663066,1
6426335158530557,1
6429158875614884,2
6430414858592614,1
6448206018452079,1
6450901352656231,1
6454506232853760,2
6473387453372651,1
6473460957217229,1
6498999437425971,1
6500029386042296,1
6504354976686588,1
6509788406230242,1
6516507531319703,1
6518919813741344,1
6531470623836602,1
6533597782099766,1
6542526075145130,1
6549308867346849,1
6550295762184385,1
6579166915730771,1
6583100106614887,2
