Identificador,ENSINO-MEDIO-SEGUNDO-GRAU,Instituição,Início,Fim,CURSO-TECNICO-PROFISSIONALIZANTE,Instituição,Início,Fim,GRADUACAO,Instituição,Início,Fim,ESPECIALIZACAO,Instituição,Início,Fim,MESTRADO,Instituição,Início,Fim,DOUTORADO,Instituição,Início,Fim
0205484470667278,nan,nan,nan,nan,nan,nan,nan,nan,"Engenharia Química, De Materiais E Processos Ambientais",Pontifícia Universidade Católica Do Rio De Janeiro,1970,1975,nan,nan,nan,nan,"Engenharia Química, De Materiais E Processos Ambientais",Pontifícia Universidade Católica Do Rio De Janeiro,1975,1977,Metalurgia Extrativa,Imperial College,1978,1983
0207157049820845,nan,nan,nan,nan,nan,nan,nan,nan,Ciências Econômicas,Universidade Do Estado Do Rio Grande Do Norte,2004,2009,nan,nan,nan,nan,Economia,Universidade Federal Da Paraíba,2012,2014,Economia,Universidade Federal Do Rio Grande Do Sul,2014,2018
0208481199560436,nan,nan,nan,nan,nan,nan,nan,nan,Licenciatura Plena Em Física,Universidade Federal Do Piauí,2009,2013,nan,nan,nan,nan,Física,Universidade Federal Do Piauí,2013,2015,Física,Universidade Federal Do Ceará,2015,2018
0210093975299031,nan,nan,nan,nan,nan,nan,nan,nan,,Universidade Federal De Minas Gerais,,1979,nan,nan,nan,nan,Engenharia Elétrica,Universidade Federal De Minas Gerais,1980,1983,Engenharia Elétrica,Universidade Federal Do Rio De Janeiro,1984,1992
0223274024436216,nan,nan,nan,nan,nan,nan,nan,nan,Farmácia - Análises Clínicas,Universidade Federal Do Rio Grande Do Sul,1981,1985,nan,nan,nan,nan,Ciências Biológicas (bioquímica),Universidade Federal Do Rio Grande Do Sul,1986,1987,Ciências (bioquímica),Universidade Federal Do Paraná,1991,1996
0225560551183999,nan,nan,nan,nan,Processamento De Dados,"Instituto Federal De Educação, Ciência E Tecnologia Da Paraíba - Ifpb",1995,1998,Ciência Da Computação,Universidade Federal Da Paraíba,1998,2002,nan,nan,nan,nan,Engenharia Eletrônica E Computação,Instituto Tecnológico De Aeronáutica,2003,2005,Engenharia Eletrônica E Computação,Instituto Tecnológico De Aeronáutica,2006,2014
0229590907405570,nan,nan,nan,nan,nan,nan,nan,nan,Enfemagem,Universidade Federal Do Espírito Santo,1983,1987,nan,nan,nan,nan,Ciências (fisiologia Geral),Universidade De São Paulo,1987,1990,Ciências Fisiológicas,Universidade Federal Do Espírito Santo,1993,1996
0232995533976144,nan,nan,nan,nan,nan,nan,nan,nan,Engenharia De Minas,Universidade Federal De Ouro Preto,1981,1986,nan,nan,nan,nan,Engenharia Metalúrgica E De Minas,Universidade Federal De Minas Gerais,1987,1989,Engenharia Metalúrgica E De Minas,Universidade Federal De Minas Gerais,1993,1997
0233514913817700,nan,nan,nan,nan,nan,nan,nan,nan,Agronomia,Universidade Federal De Pelotas,1969,1972,nan,nan,nan,nan,Engenharia Civil [c. Grande],Universidade Federal Da Paraíba,1974,1976,Agronomia (solos E Nutrição De Plantas),Universidade De São Paulo,1980,1983
0236607123089481,nan,nan,nan,nan,nan,nan,nan,nan,Meteorologia,Universidade De São Paulo,1990,1994,nan,nan,nan,nan,Meteorologia,Instituto Nacional De Pesquisas Espaciais,1998,2001,Meteorologia,Instituto Nacional De Pesquisas Espaciais,2003,2008
