Identificador,Grande Área,Área
0865191340133424,CIENCIAS_DA_SAUDE,Farmácia
0867329429331814,CIENCIAS_SOCIAIS_APLICADAS,Economia
0869167120016962,CIENCIAS_BIOLOGICAS,Bioquímica
0873496251879638,ENGENHARIAS,Engenharia Elétrica
0875527722518904,CIENCIAS_EXATAS_E_DA_TERRA,Física
0879397251389513,CIENCIAS_AGRARIAS,Agronomia
0880545003848108,CIENCIAS_BIOLOGICAS,Microbiologia
0887502044987077,ENGENHARIAS,Engenharia Civil
0896060959622431,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0900173884647980,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0900564181115140,CIENCIAS_BIOLOGICAS,Farmacologia
0919139576430566,CIENCIAS_SOCIAIS_APLICADAS,Economia
0920058820470751,CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal
0920629723928382,ENGENHARIAS,Engenharia Elétrica
0922348490725786,CIENCIAS_SOCIAIS_APLICADAS,Planejamento Urbano e Regional
0930308397178534,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0931860042124079,CIENCIAS_BIOLOGICAS,Ecologia
0935409654079900,ENGENHARIAS,Engenharia Elétrica
0938805013383423,ENGENHARIAS,Engenharia Mecânica
0945022153163542,CIENCIAS_EXATAS_E_DA_TERRA,Química
0945139577862255,CIENCIAS_SOCIAIS_APLICADAS,Economia
0946722048975388,ENGENHARIAS,Engenharia Elétrica
0954824992144106,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
0957444591428758,CIENCIAS_EXATAS_E_DA_TERRA,Física
0961099296657502,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
0971091607543044,CIENCIAS_AGRARIAS,Agronomia
0973686004919998,CIENCIAS_SOCIAIS_APLICADAS,Economia
0988858984939965,CIENCIAS_HUMANAS,Ciência Política
0989611785962681,CIENCIAS_AGRARIAS,Recursos Florestais e Engenharia Florestal
0994050156415890,CIENCIAS_EXATAS_E_DA_TERRA,Probabilidade e Estatística
0994187406222820,ENGENHARIAS,Engenharia de Produção
0998058195570736,ENGENHARIAS,Engenharia Mecânica
0999266992389089,CIENCIAS_AGRARIAS,Agronomia
1006151597195479,LINGUISTICA_LETRAS_E_ARTES,Letras
1007409099917860,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
1007816901824719,CIENCIAS_AGRARIAS,Zootecnia
1016153148024105,CIENCIAS_BIOLOGICAS,Genética
1016320998962875,CIENCIAS_BIOLOGICAS,Bioquímica
1023521805589135,CIENCIAS_SOCIAIS_APLICADAS,Planejamento Urbano e Regional
1027496814443777,ENGENHARIAS,Engenharia de Materiais e Metalúrgica
1030036144037365,CIENCIAS_BIOLOGICAS,Botânica
1033658951252242,CIENCIAS_SOCIAIS_APLICADAS,Economia
1042806990155996,CIENCIAS_EXATAS_E_DA_TERRA,Matemática
1043606043814998,CIENCIAS_EXATAS_E_DA_TERRA,Geociências
1043712269063192,ENGENHARIAS,Engenharia de Transportes
1045931096324971,CIENCIAS_EXATAS_E_DA_TERRA,Matemática
