Identificador,Cidade de Origem,Estado de Origem,País de Origem,Instituição de Atuação,Cidade de Atuação,Estado de Atuação,País de Atuação
0141870030182207,Manhumirim,MG,Brasil,Universidade Federal de Viçosa,Vicosa,MG,Brasil
0151285357488920,Caxambu do Sul,SC,Brasil,Universidade Estadual de Maringá,Umuarama,PR,Brasil
0160328557166941,Curitiba,PR,Brasil,Universidade Federal do Paraná,Curitiba,PR,Brasil
0161747269063291,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0162244851289477,Guayaquil,,Equador,Universidade Federal de Campina Grande,Campina Grande,PB,Brasil
0164966065084195,Palmira,,Colômbia,Universidade de Brasília,BRASILIA,DF,Brasil
0170936565256270,Belém,PA,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
0171183220606416,RIO DE JANEIRO,RJ,Brasil,Instituto Nacional de Tecnologia,Rio de Janeiro,RJ,Brasil
0182863293347169,São Paulo,SP,Brasil,Universidade Federal de São João Del-Rei,São João del Rei,MG,Brasil
0186446294097309,Fortaleza,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
0187547195548392,Itumbiara,,Brasil,Universidade Federal de Goiás,Goiânia,GO,Brasil
0187857348523672,Niteroi,,Brasil,Universidade Federal do Paraná,Curitiba,PR,Brasil
0189644589413057,Varginha,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
0190530879188803,JUIZ DE FORA,MG,Brasil,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Campos dos Goytacazes,RJ,Brasil
0194631586754988,Lages,SC,Brasil,Universidade Federal do Rio de Janeiro,Macaé,RJ,Brasil
0194745511728002,Fortaleza,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
0198518668202406,Fortaleza,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
0199786420638506,Salvador,BA,Brasil,Universidade Federal da Bahia,Salvador,BA,Brasil
0201883600417969,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0202215328828014,Santos,SP,Brasil,Pontifícia Universidade Católica de São Paulo,São Paulo,SP,Brasil
0205484470667278,Resende,RJ,Brasil,Pontifícia Universidade Católica do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
0207157049820845,Caraúbas,RN,Brasil,Universidade Federal da Paraíba,João Pessoa,PB,Brasil
0208481199560436,elesbão veloso,PI,Brasil,Universidade Federal do Maranhão,São Luís,MA,Brasil
0210093975299031,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
0223274024436216,Bagé,RS,Brasil,Universidade Federal de Santa Catarina,Florianópolis,SC,Brasil
0225560551183999,Cabedelo,PB,Brasil,Universidade Estadual de Campinas,Campinas,SP,Brasil
0229590907405570,GUAÇUI,ES,Brasil,Universidade Federal do Espírito Santo,Vitoria,ES,Brasil
0232995533976144,Caratinga,MG,Brasil,Universidade Federal de Ouro Preto,Ouro Preto,MG,Brasil
0233514913817700,Pelotas,RS,Brasil,Empresa Brasileira de Pesquisa Agropecuária,Santo Antônio de Goiás,GO,Brasil
