Identificador,Cidade de Origem,Estado de Origem,País de Origem,Instituição de Atuação,Cidade de Atuação,Estado de Atuação,País de Atuação
1807193235853557,Rio de Janeiro,RJ,Brasil,Fundação Oswaldo Cruz,Rio de Janeiro,RJ,Brasil
1808250344274013,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
1819612551612136,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
1821448395139141,BLUMENAU,SC,Brasil,Universidade Federal do Paraná,Curitiba,PR,Brasil
1827042213170077,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
1836592557536308,Rio Pardo,RS,Brasil,Universidade do Vale do Taquari - UNIVATES,Lajeado,RS,Brasil
1846557273818913,Palmeira D'Oeste,SP,Brasil,Universidade Federal de Lavras,Lavras,MG,Brasil
1849220604531870,Vigo,,Espanha,Departamento de Ciência e Tecnologia Aeroespacial,São José dos Campos,SP,Brasil
1853136773126959,Santana do Livramento,RS,Brasil,Universidade Federal de Santa Maria,Santa Maria,RS,Brasil
1855549944431697,Matias Lobato,MG,Brasil,Universidade Federal de Viçosa,Vicosa,MG,Brasil
1858978868165352,Rio de Janeiro,RJ,Brasil,Universidade de São Paulo,Sao Paulo,SP,Brasil
1859956031845736,LIMOEIRO DO NORTE,CE,Brasil,Empresa Brasileira de Pesquisa Agropecuária,Manaus,AM,Brasil
1870389730408675,Campinas,SP,Brasil,Universidade Estadual de Campinas,Campinas,SP,Brasil
1871521544483113,Carazinho,RS,Brasil,Universidade Federal de Santa Catarina,Florianopolis,SC,Brasil
1876482890634213,Resende,RJ,Brasil,Instituto Nacional de Tecnologia,Rio de Janeiro,RJ,Brasil
1878538271049058,Rio de Janeiro,RJ,Brasil,Insper Instituto de Ensino e Pesquisa,São Paulo,SP,Brasil
1883352145750770,Rio Claro,SP,Brasil,Universidade Estadual de Campinas,Campinas,SP,Brasil
1884420163035670,Uberlândia,MG,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
1887455293444778,Batatais,SP,Brasil,Universidade Estadual de Maringá,Maringá,PR,Brasil
1896514405880465,Timbaúba,PE,Brasil,Universidade Federal de Campina Grande,Patos,PB,Brasil
1898007894731106,PARACATU,MG,Brasil,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Campos dos Goytacazes,RJ,Brasil
1901180413775034,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
1901216516407999,Taperoá,PB,Brasil,Universidade Federal do Rio Grande do Norte,Natal,RN,Brasil
1903025298414204,Franca,SP,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
1903591824850643,Fortaleza,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
1904382224792201,Lisboa,,Portugal,Universidade Estadual de Londrina,Londrina,PR,Brasil
1912171391296662,Guaratinguetá,SP,Brasil,Universidade Federal de Itajubá,Itajuba,MG,Brasil
1914271225987860,Nonoai,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
1914466350758724,Viçosa,MG,Brasil,Fundo de Defesa da Citricultura,Araraquara,SP,Brasil
1921551651088660,São Paulo,SP,Brasil,Universidade Federal de Goiás,Goiânia,GO,Brasil
1921913931129171,Rio de Janeiro,RJ,Brasil,Universidade Federal de Ouro Preto,Ouro Preto,MG,Brasil
1932778477283611,Florianópolis,SC,Brasil,Universidade Federal de Santa Catarina,Florianópolis,SC,Brasil
1934019865788119,São Carlos,SP,Brasil,Instituto Nacional de Pesquisas da Amazônia,Manaus,AM,Brasil
1934399087822977,Fortaleza,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
1937720114661455,Recife,PE,Brasil,Universidade Federal de Santa Catarina,Florianópolis,SC,Brasil
1938486524292595,Barra do Rocha,BA,Brasil,Universidade Federal da Bahia,Salvador,BA,Brasil
1940653720704787,São Paulo,SP,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
1942580852256588,Formiga,MG,Brasil,Universidade Federal de Lavras,Lavras,MG,Brasil
1946315322575953,Belo Horizonte,MG,Brasil,Universidade Federal de Viçosa,Florestal,MG,Brasil
1950124242747561,São Paulo,SP,Brasil,Universidade de Brasília,Brasília,DF,Brasil
1954506202364661,Teresina,PI,Brasil,Universidade Federal do Piauí,Teresina,PI,Brasil
1958956061179986,Rio de Janeiro,RJ,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
1959482950237684,Fortaleza,CE,Brasil,Universidade Federal Rural do Semi-Árido,Mossoró,RN,Brasil
1962867485120733,São Paulo,SP,Brasil,Universidade Federal de Uberlândia,Uberlândia,MG,Brasil
1964398358506333,João Pessoa,PB,Brasil,Universidade Federal da Paraíba,João Pessoa,PB,Brasil
1969145165873166,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
1972345525054059,Curitiba,PR,Brasil,Universidade do Estado de Santa Catarina,Lages,SC,Brasil
1973278666980323,Rio de Janeiro,RJ,Brasil,Fundação Oswaldo Cruz,Rio de Janeiro,RJ,Brasil
1977014753474964,Araçatuba,SP,Brasil,Fundação Oswaldo Cruz,Rio de Janeiro,RJ,Brasil
1982881524126665,Iguatu,CE,Brasil,UNIVERSIDADE FEDERAL DO DELTA DO PARNAÍBA,Parnaíba,PI,Brasil
1987295209521433,MARTINS,RN,Brasil,Universidade Federal do Rio Grande do Norte,Natal,RN,Brasil
1991742176699922,Sousa,PB,Brasil,Universidade Federal do Piauí,Teresina,PI,Brasil
1992108703603111,Santos,SP,Brasil,Universidade Presbiteriana Mackenzie,São Paulo,SP,Brasil
2004501146244643,São José dos Campos,SP,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
2008175629095105,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2012931032697595,Barros Cassal,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
2018072919564143,Rio Bonito,RJ,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
2021890970181321,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2026434763745090,Maringá,PR,Brasil,Universidade de São Paulo,São Paulo,SP,Brasil
2028014208200537,São Paulo,SP,Brasil,Instituto de Zootecnia,Sertaozinho,SP,Brasil
2032317380293711,Lavras,MG,Brasil,Universidade Federal de Lavras,Lavras,MG,Brasil
2034428391439802,Londrina,PR,Brasil,Universidade Federal do Amazonas,Manaus,AM,Brasil
2039941023919671,Texeira,PB,Brasil,Universidade Federal da Paraíba,Bananeiras,PB,Brasil
2042373725346907,Belo Horizonte,MG,Brasil,Universidade Federal dos Vales do Jequitinhonha e Mucuri - Campus JK,Diamantina,MG,Brasil
2048706172366367,SAO PAULO,SP,Brasil,Universidade de Brasília,Brasília,DF,Brasil
2049752365695485,São Paulo,SP,Brasil,Universidade Federal do Paraná,Curitiba,PR,Brasil
2056264615309863,Rio de Janeiro,RJ,Brasil,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Rio de Janeiro,RJ,Brasil
2060620128806238,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
2067881167853475,Curitiba,PR,Brasil,Universidade de Brasília,Brasília,DF,Brasil
2069883404215099,João Pessoa,PB,Brasil,Universidade Federal da Paraíba,João Pessoa,PB,Brasil
2069994676017059,Recife,PE,Brasil,Universidade Federal de Pernambuco,Recife,PE,Brasil
2080538922589667,Belo Horizonte,MG,Brasil,Escola de Economia de São Paulo da Fundação Getulio Vargas,São Paulo,SP,Brasil
2085793138125077,Porto Alegre,,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
2086199766903206,Buenos Aires,,Brasil,Fundação Getúlio Vargas,Rio de Janeiro,RJ,Brasil
2087099684752643,Petrópolis,RJ,Brasil,Universidade Federal Rural do Rio de Janeiro,Seropedica,RJ,Brasil
2089873314029446,Visconde do Rio Branco,MG,Brasil,Universidade Federal de Viçosa,Viçosa,MG,Brasil
2091584947811081,Pouso Alegre,MG,Brasil,Universidade Federal de Itajubá,Itajubá,MG,Brasil
2093098818700919,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
2093374695102177,NOVA FLORESTA,PB,Brasil,Universidade Federal da Paraíba,João Pessoa,PB,Brasil
2112497575917273,Presidente Prudente,SP,Brasil,Universidade Federal do Pará,Belém,PA,Brasil
2114210397132772,Morro da Fumaça,SC,Brasil,Universidade Federal de Santa Catarina,Florianópolis,SC,Brasil
2132187008397683,Campina Grande,PB,Brasil,Universidade Federal de Campina Grande,Campina Grande,PB,Brasil
2142424336909827,Ribeirão Pires,SP,Brasil,Universidade Federal de São Paulo,Guarulhos,SP,Brasil
2146827739602504,San Miguel de Tucumán,,Argentina,Universidade Federal do ABC,Santo André,SP,Brasil
2147157840592913,Viçosa,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2152875269031463,CARUARU,PE,Brasil,Universidade Federal de Pernambuco,Recife,PE,Brasil
2152888530643357,Uruguaiana,RS,Brasil,Universidade Federal de Santa Maria,Santa Maria,RS,Brasil
2153962690732683,Recife,PE,Brasil,Universidade Federal de Pernambuco,Recife,PE,Brasil
2154584522625285,Cristália,MG,Brasil,Instituto Federal Goiano,Rio Verde,GO,Brasil
2158584413298259,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2160962871872689,Lins,SP,Brasil,Universidade Estadual Paulista Júlio de Mesquita Filho,Jaboticabal,SP,Brasil
2161551575581523,São Paulo,SP,Brasil,Universidade Estadual Paulista Júlio de Mesquita Filho,Sao Vicente,SP,Brasil
2169518139803448,Cruz das Almas,BA,Brasil,Embrapa Mandioca e Fruticultura Tropical,Cruz das Almas,BA,Brasil
2170299963939072,Campo Grande,RN,Brasil,Universidade Federal do Rio Grande do Norte,Natal,RN,Brasil
2170640577025888,Barbacena,MG,Brasil,Universidade Federal de Viçosa,Viçosa,MG,Brasil
2175955124082173,Marília,SP,Brasil,Universidade Estadual do Oeste do Paraná,Marechal Cândido Rondon,PR,Brasil
2184322471606808,Rio de Janeiro,RJ,Brasil,Universidade Federal Fluminense,Niteroi,RJ,Brasil
2187295071189231,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2189500441942469,Panambi,RS,Brasil,Universidade Federal de Santa Maria,Santa Maria,RS,Brasil
2192755725741120,Rio de Janeiro,RJ,Brasil,Universidade Federal Fluminense,Niterói,RJ,Brasil
2200553486822519,Belo Horizonte,MG,Brasil,Universidade Federal de Pernambuco,Recife,PE,Brasil
2205151409139871,Recife,PE,Brasil,Universidade Federal de Pernambuco,Recife,PE,Brasil
2207461519012659,Quixadá,CE,Brasil,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Campos dos Goytacazes,RJ,Brasil
2207556191154671,São Paulo,SP,Brasil,Universidade de São Paulo,São Paulo,SP,Brasil
2210612640849087,São Paulo,SP,Brasil,Universidade de São Paulo,Sao Paulo,SP,Brasil
2213621728469564,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2217603411366219,Montevidéu,,Uruguai,Universidade São Francisco,Itatiba,SP,Brasil
2218903041309914,Liberdade,MG,Brasil,Universidade Federal de Juiz de Fora,Juiz de Fora,MG,Brasil
2225977664095899,Recife,PE,Brasil,Universidade Federal de Pernambuco,Recife,PE,Brasil
2234702016679131,Campina Grande,PB,Brasil,Universidade Federal de Campina Grande,Campina Grande,PB,Brasil
2236406634506203,Ibiá,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2237448778462839,Maputo,,Moçambique,Universidade Federal do Recôncavo da Bahia,Cruz das Almas,BA,Brasil
2239049931866686,CATENDE,PE,Brasil,Universidade Federal Rural de Pernambuco,Recife,PE,Brasil
2246903005745997,Viçosa,MG,Brasil,Universidade Federal de Juiz de Fora,Juiz de Fora,MG,Brasil
2247558205680051,Cerro Largo,RS,Brasil,European Journal of Pharmacology
2247619809331876,Apucarana,PR,Brasil,Universidade Federal do Paraná,Curitiba,PR,Brasil
2248201275641475,Enéas Marques,PR,Brasil,Universidade do Vale do Itajaí,Itajaí,SC,Brasil
2248591013863307,Recife,PE,Brasil,Universidade Federal de Pernambuco,Recife,PE,Brasil
2253828772531348,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
2261126609607464,Lavras,MG,Brasil,Universidade Federal de Lavras,Lavras,MG,Brasil
2264339426864911,Pedras Grandes,SC,Brasil,Universidade do Vale do Itajaí,Itajaí,SC,Brasil
2266675048920917,Colatina,ES,Brasil,Instituto de Aeronáutica e Espaço,São José dos Campos,SP,Brasil
2270000954327155,Pirassununga,SP,Brasil,Empresa Brasileira de Pesquisa Agropecuária,Jaguariúna,SP,Brasil
2271044514284983,São Paulo,SP,Brasil,Universidade Tecnológica Federal do Paraná,Curitiba,PR,Brasil
2271226378934871,Brasília,DF,Brasil,Universidade Federal da Paraíba,Joao Pessoa,PB,Brasil
2274589480306828,Natal,RN,Brasil,Instituto de Tecnologia e Pesquisa,Aracaju,SE,Brasil
2278221700182008,CORDISLÂNDIA,MG,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2282052097434172,Harfleur,,França,Instituto Nacional de Matemática Pura e Aplicada,Rio de Janeiro,RJ,Brasil
2282392116347497,Belém,PA,Brasil,Universidade Federal de Ouro Preto,Ouro Preto,MG,Brasil
2285702285716050,Bom Jesus da Lapa,BA,Brasil,Universidade Federal da Paraíba,Areia,PB,Brasil
2291334095539768,BRASILIA,DF,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2300347808458185,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2302301471457270,Fortaleza,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
2304861163249517,Buenos Aires,,Argentina,Universidade de São Paulo,São Paulo,SP,Brasil
2307030217313383,Manaíra,PB,Brasil,Universidade Federal de Viçosa,Viçosa,MG,Brasil
2309220985643999,Rio de Janeiro,RJ,Brasil,Fundação Oswaldo Cruz,Rio de Janeiro,RJ,Brasil
2311121099883170,Criciúma,SC,Brasil,Universidade Federal do Pará,Belém,PA,Brasil
2313504052405431,Recife,PE,Brasil,Universidade Federal de Pernambuco,Recife,PE,Brasil
2317557283480384,Venâncio Aires,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
2318400558555562,São Carlos,SP,Brasil,Universidade Estadual de Maringá,Maringá,PR,Brasil
2318491480208879,CAXIAS DO SUL,RS,Brasil,Universidade do Vale do Rio dos Sinos,Sao Leopoldo,RS,Brasil
2328030824765516,,,Rússia,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2333683888397456,Belo Horizonte,MG,Brasil,Universidade Federal do Paraná,Curitiba,PR,Brasil
2337937419444833,São Paulo,SP,Brasil,Universidade Federal do ABC,São Bernardo do Campo,SP,Brasil
2341184189645578,Rio de Janeiro,RJ,Brasil,Comissão Nacional de Energia Nuclear,Rio de Janeiro,RJ,Brasil
2342384257808600,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2343809930436011,Altos,PI,Brasil,Universidade Federal do Piauí,Teresina,PI,Brasil
2347662604044532,Patos,PB,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2353490740859588,Guaranésia,MG,Brasil,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Campos dos Goytacazes,RJ,Brasil
2359603996065755,São Paulo,SP,Brasil,Instituto de Pesquisas Energéticas e Nucleares,São Paulo,SP,Brasil
2362482510747681,Sorocaba,SP,Brasil,Fundação Getúlio Vargas,São Paulo,SP,Brasil
2363463322940278,Porto Alegre,RS,Brasil,Universidade do Vale do Rio dos Sinos,São Leopoldo,RS,Brasil
2371401090878231,Londrina,PR,Brasil,Universidade Estadual de Londrina,Londrina,PR,Brasil
2377601975207604,Belo Horizonte,MG,Brasil,Pontifícia Universidade Católica de Minas Gerais,Belo Horizonte,MG,Brasil
2389975677904655,Santiago,,Chile,Universidade Federal de São Carlos,Sao Carlos,SP,Brasil
2405016585299932,Moscou,,Rússia,Universidade de Brasília,Brasília,DF,Brasil
2412517319305573,Belo Horizonte,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2413267462841433,Presidente Bernardes,MG,Brasil,Universidade Federal de Lavras,Lavras,MG,Brasil
2414677052501972,Belo Horizonte,MG,Brasil,Universidade Federal de Viçosa,Florestal,MG,Brasil
2414704858566970,PAULA CÂNDIDO,MG,Brasil,Universidade Federal de Viçosa,Viçosa,MG,Brasil
2427825596072142,Santa Maria,RS,Brasil,Universidade Federal de Santa Maria,Santa Maria,RS,Brasil
2428151792713626,Belém,PA,Brasil,Empresa Brasileira de Pesquisa Agropecuária,Belém,PA,Brasil
2430062237829411,Belo Horizonte,MG,Brasil,Universidade de Brasília,Brasília,DF,Brasil
2436767709775022,Auriflama,SP,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2440330779081954,Rio de Janeiro,RJ,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2440790381990226,Santo Angelo,RS,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2446301582459104,São Luis,MA,Brasil,Universidade Federal do Maranhão,São Luís,MA,Brasil
2446723331523216,Anápolis,GO,Brasil,Universidade Federal de Alagoas,Maceió,AL,Brasil
2450300228611565,Rio de Janeiro,RJ,Brasil,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2457494097826106,Laje do Muriaé,RJ,Brasil,Universidade Federal de Viçosa,Vicosa,MG,Brasil
2460012777742894,Santo Antonio do Monte,MG,Brasil,Viveiro Flora Brasil,Araguari,MG,Brasil
2461255030745891,Canguçu,RS,Brasil,Universidade Federal de Pelotas,Pelotas,RS,Brasil
2462669166872670,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2464341539930740,Palmital,PR,Brasil,Pontifícia Universidade Católica do Paraná,Curitiba,PR,Brasil
2470949000200852,Santo André,SP,Brasil,Instituto Nacional de Pesquisas Espaciais,São José dos Campos,SP,Brasil
2473628350274931,Rio de Janeiro,RJ,Brasil,Pontifícia Universidade Católica do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2474284374033405,Manaus,AM,Brasil,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2482763145819602,Mirasselvas,PA,Brasil,Universidade Federal do Pará,Belém,PA,Brasil
2483458145895884,Santa Cruz do Sul,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
2495148628056349,São Paulo,SP,Brasil,Universidade Federal de Santa Catarina,Florianopolis,SC,Brasil
2495918356675019,João Pessoa,PB,Brasil,Universidade Federal de Campina Grande,Campina Grande,PB,Brasil
2506548050366736,João Pessoa,PB,Brasil,Universidade Federal da Paraíba
2507333666306110,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
2509301929350826,Passo Fundo,RS,Brasil,Pontifícia Universidade Católica do Rio Grande do Sul,Porto Alegre,RS,Brasil
2512066286388977,Campo do Brito,SE,Brasil,Universidade Federal de Alagoas,Maceió,AL,Brasil
2514320654462590,Alto Rio Doce,MG,Brasil,Universidade Federal de Viçosa,Viçosa,MG,Brasil
2515657728339113,Piracicaba,SP,Brasil,Universidade Federal de São Paulo,São José dos Campos,SP,Brasil
2517772822853681,Tres Pontas,MG,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2522219947489545,Madrid,,Espanha,Pontifícia Universidade Católica do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2526339307296593,Ribeirao Preto,SP,Brasil,Universidade Federal de Ouro Preto,Ouro Preto,MG,Brasil
2546876510627706,Tarbes,,França,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2551610411171836,Manaus,AM,Brasil,Instituto Nacional de Pesquisas da Amazônia - INPA,Manaus,AM,Brasil
2559066882962466,Turrialba,,Costa Rica,Empresa Brasileira de Pesquisa Agropecuária,Cruz das Almas,BA,Brasil
2560496153427299,Piracicaba,SP,Brasil,Universidade do Vale do Rio dos Sinos,São Leopoldo,RS,Brasil
2572374847595620,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2580807303907150,São Paulo,SP,Brasil,Universidade Federal de Santa Catarina,Florianópolis,SC,Brasil
2582456631204400,Maceió,AL,Brasil,Universidade do Vale do Rio dos Sinos,São Leopoldo,RS,Brasil
2582841591375626,São Leopoldo,RS,Brasil,Universidade Federal de Sergipe,São Cristóvão,SE,Brasil
2585255322006890,Marinópolis,MG,Brasil,Universidade Federal de Lavras
2591330923317017,Aracaju,SE,Brasil,Pontifícia Universidade Católica do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2593509584288129,Pedro Avelino,RN,Brasil,Universidade Federal do Rio Grande do Norte,Natal,RN,Brasil
2593649837722014,Curitiba,PR,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
2593770581158412,Ribeirão Preto,SP,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2599879538822377,Ilhota,SC,Brasil,Universidade de Brasília,Brasília,DF,Brasil
2602694352713051,Santos,SP,Brasil,Universidade Federal do Espírito Santo,Vitoria,ES,Brasil
2604911000898464,Belém,PA,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
2608560883389574,VIÇOSA,MG,Brasil,Universidade Federal de Viçosa,Viçosa,MG,Brasil
2608779267915272,Rio de Janeiro,RJ,Brasil,Universidade do Estado do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2616665500018369,João Monlevade,MG,Brasil,Universidade Federal de Minas Gerais,Belo Horizonte,MG,Brasil
2625531540797787,Taquara,RS,Brasil,Fundação Estadual de Pesquisa Agropecuária,Porto Alegre,RS,Brasil
2626033210573145,Martins,RN,Brasil,Universidade do Estado do Rio Grande do Norte,Mossoró,RN,Brasil
2627415957053194,São José do Rio Preto,SP,Brasil,Fundação de Hematologia e Hemoterapia do Amazonas,Manaus,AM,Brasil
2638620558390111,Coromandel,MG,Brasil,Centro de Inovação e Ensaios Pré-Clínicos,Florianópolis,SC,Brasil
2639351643523334,SAPIRANGA,RS,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2640033045549247,Viçosa,MG,Brasil,Empresa Brasileira de Pesquisa Agropecuária,Brasilia,DF,Brasil
2642156714590604,Pelotas,RS,Brasil,CONSULTÓRIO DE PSICANÁLISE,Porto Alegre,RS,Brasil
2657881579905943,,,Alemanha,Universidade Tecnológica Federal do Paraná,Francisco Beltrão,PR,Brasil
2660699486514936,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
2665634322956186,New York City,,Estados Unidos,El Colegio de la Frontera Sur - Unidad San Cristóbal,San Cristobal de las Casas,,México
2667491497535763,Tapejara,RS,Brasil,Universidade Federal do Rio Grande,Rio Grande,RS,Brasil
2667599904884548,Rio de Janeiro,RJ,Brasil,Fundação Getulio Vargas - SP,Sao Paulo,SP,Brasil
2669247456550227,Santos,SP,Brasil,Universidade Estadual de Maringá,Maringá,PR,Brasil
2678267039338224,São Paulo,SP,Brasil,Empresa Brasileira de Pesquisa Agropecuária,São Carlos,SP,Brasil
2689581996334355,Tapera,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
2728719397995839,"Bambuí, Minas Gerais",,Brasil,Universidade Federal de Ouro Preto,Ouro Preto,MG,Brasil
2730012969211616,Palmeira das Missões,RS,Brasil,Universidade Federal de Santa Maria,Santa Maria,RS,Brasil
2739863135439867,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2740849187057682,Rio de janeiro,RJ,Brasil,Universidade Federal de Santa Catarina,FLORIANOPOLIS,SC,Brasil
2741617746925944,Governador Valadares,MG,Brasil,Universidade de Brasília,Brasília,DF,Brasil
2749773427704993,São Borja,RS,Brasil,Universidade do Estado de Santa Catarina,Joinville,SC,Brasil
2752210156480636,João Pessoa,PB,Brasil,Universidade Federal da Paraíba,João Pessoa,PB,Brasil
2759618347264783,São Paulo,SP,Brasil,Comissão Nacional de Energia Nuclear,São Paulo,SP,Brasil
2764888655397639,Campinas,SP,Brasil,Instituto Agronômico de Campinas,Campinas,SP,Brasil
2765185142133152,São Paulo,SP,Brasil,Universidade São Francisco - Itatiba,Itatiba,SP,Brasil
2767494720646648,Belo Horizonte,MG,Brasil,Universidade Federal de Goiás,Goiânia,GO,Brasil
2771856898735617,Curitiba,PR,Brasil,Universidade Tecnológica Federal do Paraná,Curitiba,PR,Brasil
2774467864626548,São Paulo,SP,Brasil,Fundação Antônio Prudente
2782095059190056,Recife,PE,Brasil,Universidade Federal de Pernambuco,Recife,PE,Brasil
2789652468369638,Rio de Janeiro,RJ,Brasil,Instituto de Pesquisa e Planejamento Urbano e Regional-UFRJ,Rio de Janeiro,RJ,Brasil
2792650195497758,Manga,MG,Brasil,Universidade Federal de Lavras,Lavras,MG,Brasil
2792921573416990,Pelotas,RS,Brasil,Universidade Federal do Rio Grande,Rio Grande,RS,Brasil
2794753357251149,Recife,PE,Brasil,Universidade Federal do Pará,Castanhal,PA,Brasil
2802663347194050,Porto Alegre,RS,Brasil,Universidade Federal do Rio Grande do Sul,Porto Alegre,RS,Brasil
2807884379340559,Ponta Grossa,PR,Brasil,Universidade Estadual de Ponta Grossa
2828124381670231,Florianopolis,SC,Brasil,Universidade Federal de Santa Catarina,Florianopolis,SC,Brasil
2834405436222065,Rodeio Bonito,RS,Brasil,Universidade Federal de Pelotas,Pelotas,RS,Brasil
2835093153489923,Sousa,PB,Brasil,Universidade Federal Rural de Pernambuco,Recife,PE,Brasil
2835610496598824,Recife,PE,Brasil,Pontifícia Universidade Católica do Rio Grande do Sul,Porto Alegre,RS,Brasil
2839547928353699,Barreiras,BA,Brasil,Universidade Federal Rural de Pernambuco,Recife,PE,Brasil
2845950448235863,Fortaleza,CE,Brasil,Universidade Federal do Ceará,Fortaleza,CE,Brasil
2851798514812201,Salvador,BA,Brasil,Comissão Executiva do Plano da Lavoura Cacaueira,Itabuna,BA,Brasil
2874231166541071,Santos,SP,Brasil,Universidade Federal de Lavras,Lavras,MG,Brasil
2875667291793150,Maringá,PR,Brasil,Universidade Federal Rural da Amazônia,Parauapebas,PA,Brasil
2877723849593769,São Paulo,SP,Brasil,Instituto de Pesquisa Jardim Botânico do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2878770983264825,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2881327424473359,Rio de Janeiro,RJ,Brasil,Universidade Federal do Rio de Janeiro,Rio de Janeiro,RJ,Brasil
2882351954633616,Patos,PB,Brasil,Universidade Federal de Campina Grande,Patos,PB,Brasil
2885145995086459,Natal,RN,Brasil,Universidade Federal de Pernambuco,Recife,PE,Brasil
