source,target
Universidad Nacional Mayor De San Marcos,Centro Brasileiro De Pesquisas Físicas
Centro Brasileiro De Pesquisas Físicas,Centro Brasileiro De Pesquisas Físicas
Universidade Federal Do Paraná,Universidade Federal Do Paraná
Universidade Federal Do Paraná,Universidade Federal Do Paraná
Universidade Federal De Pernambuco,Universidade Federal De Pernambuco
Universidade Federal De Pernambuco,Universidade Federal De Pernambuco
Universidade Federal Do Pará,Universidade Federal Do Paraná
Universidade Federal Do Paraná,Universidade Federal Do Paraná
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,"""Iese Business School"
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Faculté Des Sciences De Paris,Faculté Des Sciences De Paris
Faculté Des Sciences De Paris,Faculté Des Sciences De Paris
Escuela Nacional De Antropologia E História,Escuela Nacional De Antropologia E História
Escuela Nacional De Antropologia E História,Cornell University
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal De Viçosa,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universität Zu Köln
Universidade Estadual Paulista Júlio De Mesquita Filho,Universidade Estadual Paulista Júlio De Mesquita Filho
Universidade Estadual Paulista Júlio De Mesquita Filho,Universidade Estadual De Campinas
Universidade De Brasília,Universidade De Brasília
Universidade De Brasília,Universidade De Brasília
Universidade Estadual De Londrina,Universidade Federal De São Carlos
Universidade Federal De São Carlos,Universidade Federal De São Carlos
Universidade Federal De Mato Grosso Do Sul,Universidade Estadual Paulista Júlio De Mesquita Filho
Universidade Estadual Paulista Júlio De Mesquita Filho,Universidade Estadual Paulista Júlio De Mesquita Filho
Universidade Federal De São Paulo,Universidade Federal De São Paulo
Universidade Federal De São Paulo,Universidade Federal De São Paulo
Universidade De São Paulo,Universidade Federal De São Paulo
Universidade Federal De São Paulo,Universidade De São Paulo
Universidade Federal De Pelotas,Universidade Federal De Pelotas
Universidade Federal De Pelotas,Universidade Federal De Pelotas
Universidade Federal De Pelotas,Ecole Nationale Superieure Agronomique De Toulouse
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual Paulista Júlio De Mesquita Filho,Universidade Federal De Viçosa
Universidade Federal De Viçosa,Universidade Estadual De Campinas
Universidade Do Estado Do Rio De Janeiro,Universidade Do Estado Do Rio De Janeiro
Universidade Do Estado Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Rio De Janeiro,Universidade De São Paulo
Università Degli Studi Di Milano,"""Università Degli Studi Di Milano"
Universidade Estadual Paulista Júlio De Mesquita Filho,Universidade Estadual Paulista Júlio De Mesquita Filho
Universidade Estadual Paulista Júlio De Mesquita Filho,Universidade Estadual Paulista Júlio De Mesquita Filho
Universidade Federal Da Bahia,Universidade Federal Do Paraná
Universidade Federal Do Paraná,Universitè De Technologie De Compiègne
Universidade Federal De Juiz De Fora,Universidade Federal Rural Do Rio De Janeiro
Universidade Federal Rural Do Rio De Janeiro,Universidade Federal Rural Do Rio De Janeiro
Universidade Federal De Pernambuco,Universidade Federal De Pernambuco
Universidade Federal De Pernambuco,Université Sorbonne Nouvelle - Paris 3
Universidade Federal Do Ceará,Universidade Federal Do Ceará
Universidade Federal Do Ceará,Universidade Estadual De Campinas
Universidade Federal De Santa Maria,Universidade Federal De Santa Maria
Universidade Federal De Santa Maria,Universidade Federal De Santa Maria
Universidade De São Paulo,Universidade Federal De Viçosa
Universidade Federal De Viçosa,"""Escola Superior De Agricultura """"luiz De Queiroz"""""
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio De Janeiro
Faculdade Evangelica Mackenzie Do Parana,Universidade Federal De Goiás
Universidade Federal De Goiás,Fundação Universidade Federal De Ciências Da Saúde De Porto Alegre
Universidade Federal De Goiás,Fundação Universidade Federal De Ciências Da Saúde De Porto Alegre
Universidade Federal De Goiás,Universidade Federal De Goiás
Universidade Federal De Goiás,Universidade Federal De Goiás
Universidade De São Paulo,Université Montpellier 2 - Sciences Et Techniques
Université Montpellier 2 - Sciences Et Techniques,Universidade De São Paulo
Universidade De São Paulo,Faculdade De Ciencias Farmaceuticas
Faculdade De Ciencias Farmaceuticas,University Of Reading
Pontifícia Universidade Católica Do Paraná,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Estadual De Campinas
Universidad Nacional Del Litoral,Universidade Federal Do Rio Grande Do Sul
Universidad Nacional Del Litoral,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Insitut National Polytechnique De Grenoble
Universidade Católica De Pernambuco,Universidade Federal De Pernambuco
Universidade Federal De Pernambuco,Universidade Técnica De Lisboa
Universidade Federal De Goiás,Universidade Federal De Goiás
Universidade Federal De Goiás,Universidade Federal De Goiás
Universidade Estadual Da Paraíba,Universidade Federal Do Rio Grande Do Norte
Universidade Federal Do Rio Grande Do Norte,Universidade Federal Do Rio Grande Do Norte
Universidade Estadual De Londrina,Universidade Estadual De Londrina
Universidade Estadual De Londrina,Universidade Estadual Paulista Júlio De Mesquita Filho
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Estadual Paulista Júlio De Mesquita Filho,Universidade De São Paulo
Universidade De São Paulo,Universidade De São Paulo
Universidade Federal De Santa Catarina,Instituto Universitário De Pesquisas Do Rio De Janeiro
Instituto Universitário De Pesquisas Do Rio De Janeiro,"""University Of California"
Universidade Federal Do Pará,Universidade De Brasília
Universidade De Brasília,Université Des Sciences Et Technologies De Lille
Universidade Federal De Minas Gerais,Universidade Federal De Minas Gerais
Universidade Federal De Minas Gerais,University Of Wisconsin - Madison
Universidade Federal Do Rio De Janeiro,Observatório Nacional
Observatório Nacional,Universidade Federal Do Rio De Janeiro
Universidade Federal Do Espírito Santo,Pontifícia Universidade Católica Do Rio De Janeiro
Pontifícia Universidade Católica Do Rio De Janeiro,University Of Manchester Institute Of Science And Tecnology
Universidade Federal Do Pará,Universidade Federal Do Pará
Faculdade De Medicina De Petrópolis,Universidade Do Estado Do Rio De Janeiro
Universidade Do Estado Do Rio De Janeiro,Universidade Federal Da Bahia
Universidade Federal Do Rio Grande Do Sul,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Universidade Federal Do Rio De Janeiro
Universidade De Sófia,Universidade De Sófia
Universidade De Sófia,Universidade De Sófia
Universidade Federal De Santa Maria,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Rio Grande Do Sul,Universidade Federal Do Rio Grande Do Sul
Universidade Federal Do Pará,Universidade Federal Do Pará
Universidade Federal Do Pará,Universidade De São Paulo
Universidade Do Estado Do Rio De Janeiro,Universidade Estadual De Campinas
Universidade Estadual De Campinas,State University Of New York
Universidade Do Vale Do Rio Dos Sinos,Pontifícia Universidade Católica Do Rio Grande Do Sul
Pontifícia Universidade Católica Do Rio Grande Do Sul,Pontifícia Universidade Católica Do Rio Grande Do Sul
Universidade Federal De Minas Gerais,Universidade Estadual De Campinas
Universidade Estadual De Campinas,Rutgers University
Universidade Federal Do Rio Grande Do Sul,Université Paris Diderot
Université Paris Diderot,Université Paris Diderot
Universidade Federal De Minas Gerais,"""University Of Wisconsin"
