CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
Química Industrial,1999.0,1, De Licenciatura Esquema 2,1990.0,1.0,Educação Tecnológica,2005.0,1.0,,,
Química Industrial,2001.0,1,Licenciatura Plena Para Ensino De Segundo Grau Mod,1989.0,1.0,Engenharia Da Energia,2008.0,1.0,,,
Química Industrial,2006.0,1,Licenciatura Plena Para Formação De Professores,1995.0,1.0,Engenharia Civil - Área De Concetração Estruturas,2010.0,1.0,,,
Química Industrial,2007.0,1,Programa Especial De Formação Pedagógica De Docentes,2018.0,1.0,Engenharia Civil - Concentração Estruturas,2009.0,1.0,,,
Química Industrial,2008.0,1,Programa Especial De Formação Pedagógica Docentes,2003.0,1.0,Engenharia Civil,2012.0,1.0,,,
Saneamento,1992.0,1,Programa Especial De Formação Pedagógica Docentes,2007.0,1.0,Educação Tecnológica - Disciplina Isolada Tópicos,2007.0,1.0,,,
Saneamento,1994.0,1,Programa Especial Formação Pedagógica De Docentes,2005.0,1.0,Educação Tecnológica,2019.0,1.0,,,
Saneamento,1996.0,1,Programa Especial Formação Pedagógica De Docentes,2008.0,1.0,Educação Tecnológica,2004.0,1.0,,,
Saneamento,1997.0,1,Química,1988.0,1.0,Modelagem Matematica E Computacional,2003.0,1.0,,,
Segundo Grau  - Eletrônica,1993.0,1,Química Tecnológica,2009.0,1.0,Educação Tecnológica,1999.0,1.0,,,
Transportes E Trânsito,2007.0,1,Química Tecnológica,2013.0,1.0,Educação Tecnológica,1998.0,1.0,,,
Turismo,2001.0,1,Química Tecnológica,2014.0,1.0,Educação Tecnológica,1990.0,1.0,,,
Turismo,2005.0,1,Química Tecnológica,2016.0,1.0,Educação,2017.0,1.0,,,
Turismo - Produção De Eventos,2008.0,1,Radiologia,2003.0,1.0,Administração De Empresas,2015.0,1.0,,,
Turismo E Lazer,1998.0,1,Radiologia,2004.0,1.0,Administração,2018.0,1.0,,,
Turismo E Lazer,2002.0,1,Tecnologia Em Normalização E Qualidade,1998.0,1.0,Engenharia Da Energia,2015.0,1.0,,,
Turismo E Lazer,2006.0,1,Tecnologia Em Radiologia,2000.0,1.0,Engenharia Da Energia - Cefet/mg - Ufsj,2012.0,1.0,,,
Turismo E Lazer,2008.0,1,Tecnologia Qualidade Industrial - Enf.automobilist,1997.0,1.0,Engenharia Da Energia - Cefet/mg - Ufsj,2013.0,1.0,,,
Téc. Em Química,1997.0,1,Tecnologo Em Normalização E Qualidade Industrial,2000.0,1.0,Engenharia De Materiais,2019.0,1.0,,,
Química,2013.0,1,Tecnólogo Em Normalização E Qualidade Industrial,1996.0,1.0,Administração,2016.0,1.0,,,
Química,2010.0,1,Programa Especial De Formação Pedagógica De Docent,2011.0,1.0,Engenharia Elétrica,2017.0,1.0,,,
Meio Ambiente,2003.0,1,Programa Especial De Formação Pedagógica De Docent,2007.0,1.0,Engenharia Elétrica (cefet Mg/ufsj),2015.0,1.0,,,
Química,2003.0,1,Programa Especial De Formação Para Docentes,2002.0,1.0,Engenharia Elétrica (ufsj / Cefet-mg),2012.0,1.0,,,
Meio Ambiente,2004.0,1,Programa Esp. De Formação Pedagógica De Docentes,2010.0,1.0,Engenharia Elétrica - Cefet/mg - Ufsj,2012.0,1.0,,,
Meio Ambiente,2005.0,1,Licenciatura Plena Para Graduação De Professores,1990.0,1.0,Engenharia Elétrica - Modelagem E Sistemas De Controle,2017.0,1.0,,,
Meio Ambiente,2010.0,1,Licenciatura Plena Para Graduação De Professores,1996.0,1.0,Estudos De Linguagem,2009.0,1.0,,,
Meio Ambiente E Saneamento,1995.0,1,Licenciatura Plena Para Graduação Professores 2o G,1991.0,1.0,Manufatura Integrada Por Computador,1995.0,1.0,,,
Mineração,2000.0,1,Licenciatura Plena/esquema 1,1997.0,1.0,Manufatura Integrada Por Computador,2000.0,1.0,,,
Mineração,2003.0,1,Licendiatura Plena Para Graduação De Professores,1987.0,1.0,Manufatura Integrada Por Computador,2002.0,1.0,,,
Mineração,2005.0,1,Normalização E Qualidade Industrial,2006.0,1.0,Mathematical And Computational Modeling,2014.0,1.0,,,
Mineração,2006.0,1,Prog.esp. De Formação Pedagógica De Docentes,2009.0,1.0,Mestrado Multicêntrico Em Química/ppgmq-mg - Belo Horizonte.,2018.0,1.0,,,
Mineração,2007.0,1,Programa Especial De Formação De Docente,1981.0,1.0,Modelagem E Controle De Sistemas,2012.0,1.0,,,
Mineração,2008.0,1,Programa Especial De Formação De Docentes(química),2011.0,1.0,"Tecnologia, Educação Tecnológica",1993.0,1.0,,,
Planejamento E Gestão Em Tecnologia Da Informação,2006.0,1,Programa Especial De Formação De Docente,1988.0,1.0,,,,,,
Planejamento E Gestão Em Tecnologia Da Informação,2007.0,1,Programa Especial De Formação De Docente,1989.0,1.0,,,,,,
Pós-médio Meio Ambiente,2004.0,1,Programa Especial De Formação De Docente,1994.0,1.0,,,,,,
Quimica,1995.0,1,Programa Especial De Formação De Docente,2003.0,1.0,,,,,,
Informática Industrial,2002.0,1,Programa Especial De Formação De Docente,2014.0,1.0,,,,,,
Quimica Industrial,1997.0,1,Formação De Professores Para Currículo Especial Do,1993.0,1.0,,,,,,
Quimica Industrial,1998.0,1,Programa Especial De Formação De Docente,2018.0,1.0,,,,,,
