CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
,,,Engenharia Florestal,2006.0,4.0,Engenharia Química,2002.0,3.0,Ciências Da Computação,2002.0,3
,,,Medicina Veterinária,1999.0,4.0,Engenharia Química,1994.0,3.0,Ciências Da Computação,2009.0,3
,,,Agronomia,1992.0,4.0,Genética E Melhoramento,1993.0,3.0,Ciências Biológicas,2000.0,3
,,,Agronomia,2002.0,4.0,Engenharia Mecânica,2007.0,3.0,Ciências Biológicas (biofísica),1998.0,3
,,,Química,1997.0,4.0,Engenharia Química,2008.0,3.0,Ciências Biológicas (bioquímica),2005.0,3
,,,Química,2000.0,4.0,Física,1983.0,3.0,Ciência Florestal,2000.0,3
,,,Engenharia Agronômica,1986.0,3.0,Física,2005.0,3.0,Biologia Celular E Molecular,2005.0,3
,,,Economia,1994.0,3.0,Física,2001.0,3.0,Ciência De Alimentos,2006.0,3
,,,Engenharia Elétrica,1997.0,3.0,Fitopatologia,1995.0,3.0,Zootecnia,2002.0,3
,,,Engenharia Elétrica,2000.0,3.0,Física,2010.0,3.0,Administração,2007.0,3
,,,Engenharia Agronômica,1992.0,3.0,Zootecnia,1992.0,3.0,Ciências Biológicas (biofísica),1995.0,2
,,,Zootecnia,1995.0,3.0,Administração,2003.0,3.0,Computação,2017.0,2
,,,Engenharia Elétrica,1994.0,3.0,Ciências Biológicas (biofísica),1992.0,3.0,Zootecnia,1998.0,2
,,,Ciências Econômicas,1992.0,3.0,Zootecnia,2003.0,3.0,Engenharia De Alimentos,1998.0,2
,,,Engenharia Agronômica,1988.0,3.0,Ciências Biológicas (biologia Molecular),1997.0,2.0,Economia,2002.0,2
,,,Economia,2002.0,3.0,Ciências Biológicas (botânica),1989.0,2.0,Ciência Do Solo,2013.0,2
,,,Zootecnia,2001.0,3.0,Sociologia,2005.0,2.0,Ecologia,2000.0,2
,,,Zootecnia,2002.0,3.0,Zootecnia,1995.0,2.0,Ecologia,1999.0,2
