CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
Análise Real,1982.0,1.0,Fisica,1980.0,16.0,Química,1989.0,10.0,Engenharia Química,1991.0,10
Análises Clínicas,1993.0,1.0,Engenharia Química,1979.0,16.0,Química,1984.0,10.0,Engenharia Química,1992.0,10
Armas E Munições,1986.0,1.0,Física,1984.0,16.0,Zootecnia,2003.0,10.0,Ciências,2007.0,10
Atualização Em Engenharia Biomédica,1977.0,1.0,Química,1991.0,16.0,Engenharia Química,2000.0,10.0,Administração,2005.0,10
Automatic Control,1990.0,1.0,Farmácia,1999.0,16.0,Filosofia,1987.0,10.0,Administração,2007.0,10
Automação Industrial,2005.0,1.0,História,1981.0,16.0,Filosofia,1992.0,10.0,Engenharia De Produção,1997.0,10
Automação Industrial,2019.0,1.0,Engenharia Química,1989.0,16.0,Engenharia Elétrica,1994.0,10.0,Educação,1994.0,10
Auxilar Em Processamento De Dados,1994.0,1.0,Química,1992.0,16.0,Engenharia Elétrica,1993.0,10.0,Engenharia Civil,1990.0,10
Auxiliar Agrimensura,1981.0,1.0,História,1982.0,16.0,Filosofia,1994.0,10.0,Engenharia Elétrica,1995.0,10
Auxiliar De Atividades Escolares,1993.0,1.0,Medicina,1989.0,16.0,Engenharia Mecânica,1985.0,10.0,Educação,2008.0,10
Auxiliar De Contabilidade,1991.0,1.0,Química,1986.0,16.0,Engenharia Mecânica,1997.0,10.0,Zootecnia,1997.0,10
Auxiliar De Enfermagem,1998.0,1.0,Química,1984.0,16.0,Educação,1994.0,10.0,História,1999.0,10
Auxiliar De Laboratório De Análises Clínicas,1981.0,1.0,Física,1989.0,16.0,Lingüística,1997.0,9.0,Zootecnia,2003.0,10
Auxiliar Eletrônica E Telecomunicações,2001.0,1.0,Psicologia,1994.0,15.0,Ciências Da Computação,2002.0,9.0,Química,1987.0,10
Auxiliar Em Processamento De Dados,1991.0,1.0,Ciência Da Computação,1998.0,15.0,Engenharia Elétrica,1980.0,9.0,Engenharia Elétrica,2009.0,10
Auxiliar Museu,1982.0,1.0,Engenharia Civil,1996.0,15.0,Filosofia,1997.0,9.0,Engenharia Mecânica,1989.0,10
Bacteriologia,1977.0,1.0,Engenharia Agronômica,1982.0,15.0,Administração,2003.0,9.0,Ciências Biológicas (zoologia),1997.0,9
Bioquímica,1984.0,1.0,Medicina,1988.0,15.0,Zootecnia,1990.0,9.0,Ciências Sociais,1998.0,9
Bioquímica,1985.0,1.0,Agronomia,2000.0,15.0,Física,2009.0,9.0,Economia,2010.0,9
Bioquímica,1989.0,1.0,Engenharia Mecânica,1983.0,15.0,Matemática,2009.0,9.0,Economia,2004.0,9
Bioquímica,1993.0,1.0,Engenharia Química,1984.0,15.0,Matemática,1985.0,9.0,Ciências Biológicas (bioquímica),1996.0,9
Biotecnologia,1988.0,1.0,Agronomia,1998.0,15.0,História,1987.0,9.0,Sociologia,1990.0,9
Biotecnologia,1994.0,1.0,Agronomia,1994.0,15.0,Letras,2000.0,9.0,Engenharia Civil,1991.0,9
Biotecnologia,2000.0,1.0,Medicina Veterinária,1991.0,15.0,Matemática,2008.0,9.0,Saúde Pública,1999.0,9
Cafeicultura,2021.0,1.0,Ciências Sociais,1989.0,15.0,Economia,2002.0,9.0,Educação,1992.0,9
Capacitação Técnica Nível 3,1999.0,1.0,Psicologia,1996.0,15.0,Engenharia Civil,1987.0,9.0,Enfermagem,1995.0,9
Consultor Meio Ambiente,1994.0,1.0,Química,1973.0,15.0,Zootecnia,2000.0,9.0,Saúde Pública,1992.0,9
Contabilidade,1974.0,1.0,Química,1996.0,15.0,Engenharia Química,1992.0,9.0,Engenharia Elétrica,1989.0,9
Contabilidade,1975.0,1.0,Agronomia,1988.0,15.0,Engenharia Química,2006.0,9.0,Engenharia De Produção,2007.0,9
Contabilidade,1978.0,1.0,Engenharia Civil,1982.0,15.0,Educação,1987.0,9.0,História,2003.0,9
Contabilidade,1982.0,1.0,Física,1985.0,15.0,Engenharia Química,2001.0,9.0,Física,2011.0,9
Contabilidade,1983.0,1.0,Ciências Biológicas,1973.0,15.0,Filosofia,1991.0,9.0,Lingüística,1991.0,9
Contabilidade,1988.0,1.0,Física,1987.0,15.0,Filosofia,1989.0,9.0,Física,1976.0,9
Contabilidade,1995.0,1.0,Agronomia,1978.0,15.0,Sociologia,1991.0,9.0,Engenharia Mecânica,2003.0,9
Contabilidade,1996.0,1.0,Medicina,1991.0,15.0,Engenharia Mecânica,1994.0,9.0,Engenharia Elétrica,1986.0,9
Contabilidade,1998.0,1.0,Engenharia Mecânica,1980.0,15.0,Psicologia,2001.0,9.0,Engenharia De Produção,1998.0,9
Controle De Qualidade De Alimentos,1997.0,1.0,Química,1982.0,15.0,Engenharia Elétrica,1992.0,9.0,Sociologia,1993.0,9
Curto Agropecuaria,1970.0,1.0,Ciências Sociais,1985.0,15.0,Engenharia Mecânica,1984.0,9.0,Psicologia,2010.0,9
Desenho De Comunicação,1975.0,1.0,Odontologia,1993.0,14.0,Economia,2008.0,9.0,Filosofia,1997.0,9
Desenho De Construção Civil,1986.0,1.0,Odontologia,1990.0,14.0,Engenharia Química,1988.0,9.0,Engenharia Mecânica,1996.0,9
Desenho Industrial,1988.0,1.0,Psicologia,1982.0,14.0,Psicologia,2008.0,9.0,Engenharia Mecânica,1995.0,9
Desenho Industrial,1996.0,1.0,Engenharia Elétrica,1985.0,14.0,Engenharia Civil,1990.0,9.0,Filosofia,1994.0,9
Desenvolvimento De Sistemas Computacionais,2018.0,1.0,Física,1976.0,14.0,Engenharia Civil,1989.0,9.0,Matemática,1998.0,9
Diagnosis And Recognition Of Foreign Animal Diseas,1976.0,1.0,Medicina Veterinária,2000.0,14.0,Ciências Biológicas (biofísica),1989.0,9.0,Farmacologia,2000.0,9
Edificações,1981.0,1.0,Física,1979.0,14.0,Física,1971.0,8.0,Enfermagem,2003.0,8
Edificações,1983.0,1.0,Medicina Veterinária,1994.0,14.0,Matemática,2010.0,8.0,Ciências Biológicas (zoologia),1991.0,8
Edificações,1991.0,1.0,Medicina,1969.0,14.0,Zootecnia,1992.0,8.0,Administração,1995.0,8
Edificações,1992.0,1.0,Engenharia Química,1986.0,14.0,Ciências Farmacêuticas,2003.0,8.0,Administração,2003.0,8
Edificações,1995.0,1.0,Medicina,1996.0,14.0,História,1986.0,8.0,Ciências Sociais,1999.0,8
Educação Musical,1969.0,1.0,Engenharia Química,1988.0,14.0,Filosofia,1996.0,8.0,Economia,1997.0,8
Eletricista De Manutenção,1993.0,1.0,Agronomia,1972.0,14.0,Engenharia Mecânica,1982.0,8.0,Sociologia,1999.0,8
Eletricista De Manutenção,1994.0,1.0,Agronomia,2001.0,14.0,Educação,1986.0,8.0,Educação,1991.0,8
Eletro-eletrônica,1993.0,1.0,Engenharia Química,1990.0,14.0,Engenharia Mecânica,1999.0,8.0,Sociologia,1998.0,8
Eletroeletrônica,1997.0,1.0,Geologia,1978.0,14.0,Engenharia Mecânica,2000.0,8.0,Enfermagem,1997.0,8
Eletroeletrônica,2003.0,1.0,Medicina,1987.0,14.0,Educação,2002.0,8.0,Saúde Pública,1997.0,8
Eletromecânia,1981.0,1.0,Ciência Da Computação,2002.0,14.0,Sociologia,1985.0,8.0,Engenharia Civil,2001.0,8
Eletromecânica,1994.0,1.0,Engenharia Civil,1995.0,14.0,Engenharia Química,1997.0,8.0,Engenharia Civil,2003.0,8
Eletromecânica,1996.0,1.0,Ciências Sociais,1992.0,14.0,Psicologia,1993.0,8.0,Engenharia Civil,1997.0,8
Eletromecânica,1997.0,1.0,Engenharia Química,1978.0,14.0,Educação,1984.0,8.0,Direito,1999.0,8
Eletromecânica,1999.0,1.0,Química,1997.0,14.0,Engenharia Química,1983.0,8.0,Economia,1999.0,8
Eletronica,1977.0,1.0,Química,1983.0,14.0,Química,1982.0,8.0,Economia,2007.0,8
Eletronica,1996.0,1.0,Odontologia,1987.0,13.0,Ciências Biológicas (zoologia),1997.0,8.0,Saúde Pública,1994.0,8
Eletronica,1998.0,1.0,Engenharia Civil,1976.0,13.0,Engenharia Elétrica,2005.0,8.0,Engenharia Elétrica,1988.0,8
Eletrotécnica,1971.0,1.0,Medicina,1994.0,13.0,Engenharia Elétrica,1976.0,8.0,Educação,2009.0,8
Eletrotécnica,1975.0,1.0,Medicina Veterinária,1983.0,13.0,Engenharia De Produção,2000.0,8.0,Engenharia Civil,1988.0,8
Eletrotécnica,1977.0,1.0,Psicologia,1981.0,13.0,Engenharia De Produção,2001.0,8.0,Matemática,2004.0,8
Eletrotécnica,1981.0,1.0,Engenharia Civil,1979.0,13.0,Engenharia Civil,1984.0,8.0,Engenharia Química,2008.0,8
Eletrotécnica,1984.0,1.0,Zootecnia,1997.0,13.0,Zootecnia,1995.0,8.0,Engenharia Elétrica,2010.0,8
Eletrotécnica,1986.0,1.0,Ciências Sociais,1991.0,13.0,Engenharia Civil,2002.0,8.0,Engenharia Mecânica,1991.0,8
Eletrotécnica,1987.0,1.0,História,1991.0,13.0,Engenharia De Produção,2005.0,8.0,Agronomia,1999.0,8
Eletrotécnica,1988.0,1.0,História,1990.0,13.0,Engenharia De Produção,1992.0,8.0,Química,2011.0,8
Eletrotécnica,1995.0,1.0,Engenharia Civil,1973.0,13.0,Engenharia Civil,1980.0,8.0,Engenharia Química,1995.0,8
Eletrotécnica,1996.0,1.0,Ciências Biológicas,1972.0,13.0,Zootecnia,2007.0,8.0,Engenharia Química,2000.0,8
Eletrotécnica,1999.0,1.0,Psicologia,1985.0,13.0,Letras,1992.0,7.0,Engenharia Mecânica,2005.0,8
Eletrotécnica,2002.0,1.0,Química,1988.0,13.0,Informática,1998.0,7.0,Psicologia,2003.0,8
Eletrotécnica (nível: Ensino Médio),2001.0,1.0,Ciências Biológicas,1974.0,13.0,Lingüística,1994.0,7.0,Filosofia,2008.0,8
Eletrotécnico,1984.0,1.0,Psicologia,1991.0,13.0,Zootecnia,1986.0,7.0,Física,1981.0,8
Eletrônica,1976.0,1.0,Engenharia Química,1985.0,13.0,Ecologia,1992.0,7.0,Lingüística,1996.0,8
Eletrônica,1979.0,1.0,Engenharia Química,1980.0,13.0,Ecologia,1995.0,7.0,Lingüística,1992.0,8
Eletrônica,1980.0,1.0,Química,1978.0,13.0,Zootecnia,1993.0,7.0,Filosofia,1995.0,8
Eletrônica,1981.0,1.0,Ciência Da Computação,2000.0,13.0,Geografia,2004.0,7.0,Filosofia,1998.0,8
Eletrônica,1982.0,1.0,Engenharia Mecânica,1978.0,13.0,Geografia,2005.0,7.0,Filosofia,2005.0,8
Eletrônica,1989.0,1.0,Enfermagem,1980.0,13.0,Ecologia,1988.0,7.0,Física,1983.0,8
Eletrônica,1993.0,1.0,Engenharia Química,1982.0,13.0,História,1998.0,7.0,Física,1980.0,8
Eletrônica,1994.0,1.0,Engenharia Civil,1974.0,13.0,História,1996.0,7.0,História,2008.0,8
Eletrônica,1999.0,1.0,Engenharia Elétrica,1997.0,13.0,Engenharia De Produção,1996.0,7.0,Genética E Biologia Molecular,2004.0,8
Eletrônica,2004.0,1.0,Odontologia,2000.0,13.0,Ciências Biológicas (bioquímica),1997.0,7.0,Geografia (geografia Humana),1994.0,8
Eletrônica (2o Grau),1984.0,1.0,Ciências Sociais,1993.0,13.0,Matemática,1990.0,7.0,História,1998.0,8
Eletrônica (2o. Grau Profissionalizante),1986.0,1.0,Ciências Econômicas,1997.0,13.0,Matemática,2011.0,7.0,História,1996.0,8
Telecomunicações,1986.0,1.0,Fisioterapia,2000.0,12.0,Matemática,1986.0,7.0,História,1993.0,8
Eletrônica Incompleto,1997.0,1.0,Fisioterapia,1996.0,12.0,Engenharia De Produção,1994.0,7.0,História,2001.0,8
Eletrônica Industrial,1991.0,1.0,Engenharia Elétrica,1980.0,12.0,Engenharia Civil,1999.0,7.0,Biologia Vegetal,1994.0,8
Enfermagem,1995.0,1.0,Medicina Veterinária,1981.0,12.0,Engenharia Química,1985.0,7.0,Zootecnia,2010.0,8
Engenharia Elétrica,1993.0,1.0,Farmácia,1989.0,12.0,Engenharia Elétrica,1979.0,7.0,Biologia Celular E Molecular,2002.0,7
Estatística,1980.0,1.0,Medicina Veterinária,1998.0,12.0,Engenharia Química,1989.0,7.0,Biologia Celular E Molecular,2001.0,7
Estradas,1988.0,1.0,Engenharia Elétrica,1996.0,12.0,Engenharia Mecânica,1977.0,7.0,Ciências Biológicas (biofísica),1990.0,7
Estradas,1994.0,1.0,Agronomia,1974.0,12.0,Engenharia Mecânica,2006.0,7.0,Ciências Biológicas (biofísica),1993.0,7
Ferramentaria,1991.0,1.0,Ciências Sociais,1988.0,12.0,Educação,2003.0,7.0,Ciência Política,2006.0,7
Ferramentaria De Moldes,2001.0,1.0,Engenharia Elétrica,1999.0,12.0,Sociologia,1982.0,7.0,Ciência Política,2001.0,7
Formação De Analistas De Sistemas,1987.0,1.0,História,1976.0,12.0,Ciências Da Computação,2006.0,7.0,Sociologia,2008.0,7
Formação De Professores,1967.0,1.0,Engenharia Civil,1978.0,12.0,Letras,1996.0,7.0,Geografia,1998.0,7
Geologia,1978.0,1.0,Ciências Sociais,1983.0,12.0,Psicologia,2000.0,7.0,História,1994.0,7
Geologia E Mineração,1999.0,1.0,Química,1981.0,12.0,Psicologia,1999.0,7.0,Administração,2002.0,7
Geologia Nível Médio,1978.0,1.0,Odontologia,1994.0,12.0,Administração,1999.0,7.0,Ciências Biológicas (bioquímica),1989.0,7
Gestão Com Abilitação Em Administração,2002.0,1.0,Medicina Veterinária,1988.0,12.0,Ciências Biológicas (zoologia),1995.0,7.0,Ciências Biológicas (bioquímica),1992.0,7
Habilitação Básica Em Patologia Clínica,1986.0,1.0,Agronomia,1989.0,12.0,Matemática,2000.0,7.0,Arquitetura E Urbanismo,1996.0,7
