CURSO-TECNICO-PROFISSIONALIZANTE,Fim.1,Quantidade,GRADUACAO,Fim.2,Quantidade,MESTRADO,Fim.4,Quantidade,DOUTORADO,Fim.5,Quantidade
Desenho De Comunicação,1977.0,1.0,Engenharia Química,1992.0,15.0,Química,1986.0,9.0,Ciências Biológicas (bioquímica),2009.0,9
Desenho De Construção Civil,1989.0,1.0,Engenharia Elétrica,1982.0,14.0,Engenharia Mecânica,1995.0,9.0,Engenharia Química,1994.0,9
Desenho Industrial,1988.0,1.0,Psicologia,1991.0,14.0,Psicologia,1995.0,9.0,Engenharia Mecânica,2000.0,9
Desenho Industrial,1998.0,1.0,Química,1996.0,14.0,Educação,2002.0,9.0,Farmacologia,2006.0,9
Desenvolvimento De Sistemas Computacionais,2020.0,1.0,Física,1999.0,14.0,Educação,2008.0,9.0,Filosofia,2009.0,9
Diagnosis And Recognition Of Foreign Animal Diseas,1976.0,1.0,Química,1986.0,14.0,Engenharia Civil,1987.0,9.0,Biologia Celular E Molecular,2005.0,9
Edificações,1985.0,1.0,Química,1987.0,14.0,Engenharia Civil,1988.0,9.0,Direito,2002.0,9
Edificações,1987.0,1.0,Engenharia Mecânica,1994.0,14.0,Física,2011.0,9.0,Engenharia Mecânica,1995.0,9
Edificações,1991.0,1.0,Física,1974.0,14.0,Engenharia Elétrica,2007.0,9.0,Psicologia,2008.0,9
Edificações,1996.0,1.0,Engenharia Civil,1996.0,14.0,Química,2009.0,9.0,Zootecnia,2002.0,9
Edificações,2000.0,1.0,Fisica,1985.0,14.0,Engenharia Elétrica,1995.0,9.0,Matemática,2007.0,9
Edificações,2001.0,1.0,Engenharia Civil,1999.0,14.0,Engenharia Elétrica,1983.0,9.0,Química,1992.0,9
Edificações,2003.0,1.0,Engenharia Química,1981.0,14.0,Geografia,2006.0,9.0,Química,2012.0,9
Educação Musical,1971.0,1.0,Engenharia Elétrica,1988.0,14.0,História,1990.0,9.0,Farmacologia,2004.0,9
Eletricista De Manutenção,1994.0,1.0,Engenharia Mecânica,2000.0,14.0,Engenharia De Produção,1999.0,9.0,Ciências Biológicas (zoologia),2002.0,8
Eletricista De Manutenção,1995.0,1.0,Medicina Veterinária,2004.0,14.0,Ciências Biológicas (zoologia),1995.0,9.0,Economia,2003.0,8
Eletro-eletrônica,1997.0,1.0,Ciência Da Computação,2001.0,14.0,Administração,2001.0,9.0,Engenharia De Produção,2004.0,8
Eletroeletrônica,2000.0,1.0,Química,1976.0,14.0,Zootecnia,2007.0,9.0,Saúde Pública,2003.0,8
Eletroeletrônica,2004.0,1.0,História,1991.0,14.0,Zootecnia,1997.0,9.0,Engenharia Química,2009.0,8
Eletromecânia,1983.0,1.0,Engenharia Civil,1977.0,14.0,Zootecnia,1995.0,9.0,História Social,2000.0,8
Eletronica,1981.0,1.0,História,1990.0,14.0,Zootecnia,1996.0,9.0,Ciências Biológicas (bioquímica),1995.0,8
Eletronica,1998.0,1.0,Engenharia Elétrica,1990.0,14.0,Filosofia,1997.0,8.0,Ciências Biológicas (bioquímica),1996.0,8
Eletronica,2000.0,1.0,Odontologia,1998.0,13.0,Filosofia,1999.0,8.0,Economia,2011.0,8
Eletrotécnica,1974.0,1.0,Engenharia Elétrica,1975.0,13.0,Farmacologia,2002.0,8.0,Ciência Política,2000.0,8
Eletrotécnica,1977.0,1.0,Engenharia Química,1999.0,13.0,Saúde Pública,1993.0,8.0,Matemática,2009.0,8
Eletrotécnica,1979.0,1.0,Letras,1987.0,13.0,Física,1979.0,8.0,Engenharia Elétrica,1999.0,8
Eletrotécnica,1984.0,1.0,Medicina,2003.0,13.0,Antropologia Social,1995.0,8.0,Educação,1992.0,8
Eletrotécnica,1989.0,1.0,Medicina,1997.0,13.0,Matemática,1993.0,8.0,Enfermagem,2001.0,8
Eletrotécnica,1991.0,1.0,Agronomia,2003.0,13.0,Antropologia Social,1989.0,8.0,Enfermagem,2003.0,8
Eletrotécnica,1992.0,1.0,Agronomia,2005.0,13.0,Engenharia Química,1998.0,8.0,Engenharia Elétrica,1995.0,8
Eletrotécnica,1994.0,1.0,Engenharia Química,1990.0,13.0,Engenharia Química,1994.0,8.0,Economia,2007.0,8
Eletrotécnica,1995.0,1.0,Farmácia,2001.0,13.0,Economia,2004.0,8.0,Enfermagem,2006.0,8
Eletrotécnica,1996.0,1.0,Geografia,1987.0,13.0,Economia,2010.0,8.0,Filosofia,2001.0,8
Eletrotécnica,1998.0,1.0,Ciências Sociais,1988.0,13.0,Educação,1987.0,8.0,Economia,2010.0,8
Eletrotécnica,1999.0,1.0,Engenharia Agronômica,1985.0,13.0,Engenharia Mecânica,2007.0,8.0,Educação,2010.0,8
Eletrotécnica,2000.0,1.0,Engenharia Elétrica,1997.0,13.0,Engenharia Mecânica,1996.0,8.0,Filosofia,2003.0,8
Eletrotécnica,2004.0,1.0,Engenharia Elétrica,1999.0,13.0,Matemática,2004.0,8.0,Engenharia Mecânica,2011.0,8
Eletrotécnica (nível: Ensino Médio),2003.0,1.0,Engenharia Elétrica,2003.0,13.0,Matemática,2009.0,8.0,Educação,1995.0,8
Eletrotécnico,1986.0,1.0,Psicologia,1999.0,13.0,Educação,2005.0,8.0,Matemática,2001.0,8
