CURSO-TECNICO-PROFISSIONALIZANTE,Início.1,Quantidade,GRADUACAO,Início.2,Quantidade,MESTRADO,Início.4,Quantidade,DOUTORADO,Início.5,Quantidade
Processamento De Dados,1995.0,1.0,Agronomia,1994.0,4.0,Economia,2002.0,3.0,Física,2005.0,3
Pcr Do Desenho Do Pimer À Reação Aspectos Práticos,1996.0,1.0,Engenharia Elétrica,1998.0,4.0,Engenharia Agrícola,1990.0,3.0,Física,1995.0,3
Processamento De Dados,1991.0,1.0,Agronomia,1996.0,4.0,Economia,1993.0,3.0,Física,1984.0,3
Química,1981.0,1.0,Química,1985.0,4.0,Ecologia,1988.0,3.0,Geologia,1987.0,3
Profissionalização Em  Eletrônico,1969.0,1.0,Agronomia,1982.0,4.0,Economia,1987.0,3.0,Geociências,1992.0,3
Química,1990.0,1.0,Agronomia,1973.0,4.0,Economia,2007.0,3.0,Engenharia Química,2008.0,3
Química,2001.0,1.0,Ciências Econômicas,1998.0,4.0,Economia,2006.0,3.0,Engenharia Química,2004.0,3
Química Com Ênfase Em Análise De Processos Industr,2002.0,1.0,Química,1984.0,4.0,Economia,2005.0,3.0,Matemática,1985.0,3
Telecomunicações,1988.0,1.0,Ciências Econômicas,2000.0,4.0,Ciências Biológicas (zoologia),2001.0,3.0,Engenharia Elétrica,1987.0,3
Técnicas Agrícolas (nível Médio),1990.0,1.0,Agronomia,2003.0,4.0,Ciências Da Computação,2006.0,3.0,Engenharia Florestal,2003.0,3
´técnico Agrícola Com Habilitação Plena Em Agropec,1995.0,1.0,Psicologia,1994.0,4.0,Ciências Farmacêuticas,2003.0,3.0,Engenharia Elétrica,1988.0,3
,,,Ciências Econômicas,2002.0,4.0,Ciências Da Computação,1995.0,3.0,Engenharia Elétrica,1990.0,3
,,,Ciências Econômicas,2003.0,4.0,Matemática,2007.0,3.0,Engenharia Elétrica,2005.0,3
,,,Agronomia,1988.0,4.0,Medicina Veterinária,1995.0,3.0,Engenharia Elétrica,2003.0,3
,,,Medicina Veterinária,2000.0,4.0,Agronomia,1997.0,3.0,Biologia Celular E Molecular,2000.0,3
,,,Ciências Sociais,2002.0,4.0,Zootecnia,2005.0,3.0,Engenharia Química,1991.0,3
,,,Medicina Veterinária,1998.0,4.0,Ciências Biológicas (zoologia),1991.0,3.0,Engenharia Mecânica,1997.0,3
,,,Química,1993.0,4.0,Ciências Biológicas (zoologia),1992.0,3.0,Engenharia Mecânica,1989.0,3
,,,Engenharia Florestal,2001.0,4.0,Ciências Biológicas (botânica),1987.0,3.0,Engenharia De Alimentos,1994.0,3
,,,Agronomia,1968.0,4.0,Ciência E Tecnologia De Alimentos,1985.0,3.0,Engenharia Civil,2004.0,3
,,,Engenharia Química,1977.0,4.0,Ciências Biológicas (biofísica),1978.0,3.0,Engenharia Civil,2003.0,3
,,,Engenharia Química,1979.0,4.0,"Engenharia De Minas, Metalúrgica E De Materiais",1979.0,3.0,Engenharia Civil,1995.0,3
,,,Geologia,1983.0,4.0,Engenharia Elétrica,1997.0,3.0,Administração,2005.0,3
,,,Geologia,1979.0,4.0,Geologia,1982.0,3.0,Economia,1998.0,3
,,,Engenharia Elétrica,1989.0,4.0,Engenharia Florestal,2007.0,3.0,Economia,1995.0,3
,,,Geologia,1978.0,4.0,Biologia Celular E Molecular,2001.0,3.0,Economia,1988.0,3
,,,Engenharia Agrícola,1998.0,4.0,Física,2005.0,3.0,Direito,1999.0,3
,,,Engenharia Elétrica,1990.0,4.0,Física,2003.0,3.0,Química,1999.0,3
,,,Agronomia,1989.0,4.0,Engenharia Elétrica,1996.0,3.0,Química,2004.0,3
,,,Agronomia,1990.0,4.0,História,1988.0,3.0,Ciências Da Computação,2005.0,3
,,,Economia,1989.0,4.0,História,1987.0,3.0,Ciências Farmacêuticas,2001.0,3
,,,Ciência Da Computação,2001.0,4.0,Matemática,1983.0,3.0,Química,2002.0,3
,,,Agronomia,1991.0,4.0,Geografia,2004.0,3.0,Química,2006.0,3
,,,Engenharia Civil,1991.0,4.0,Genética E Melhoramento,1993.0,3.0,Química,2003.0,3
,,,Ciências Biológicas,2000.0,4.0,Agronomia (fitotecnia),1991.0,3.0,Administração,2003.0,3
,,,Zootecnia,2004.0,4.0,Matemática,2010.0,3.0,Ciências Biológicas (botânica),1998.0,3
,,,Zootecnia,2001.0,4.0,Engenharia Elétrica,1984.0,3.0,Ciências Biológicas (zoologia),1991.0,3
,,,Física,1974.0,4.0,Engenharia De Produção,2010.0,3.0,Ciências Biológicas (zoologia),2003.0,3
,,,Física,1972.0,4.0,Engenharia Mecânica,1994.0,3.0,Ciências Da Computação,1998.0,3
,,,Engenharia Florestal,1985.0,4.0,Engenharia Mecânica,1989.0,3.0,Ciências Biológicas (biofísica),1993.0,3
,,,Zootecnia,1998.0,4.0,Engenharia Química,2001.0,3.0,Ciência De Alimentos,2001.0,3
,,,Engenharia Civil,1980.0,4.0,Engenharia Química,1982.0,3.0,Engenharia Civil,1984.0,3
,,,Engenharia Elétrica,1994.0,4.0,Física,1989.0,3.0,Educação,1995.0,3
,,,Engenharia Química,1987.0,4.0,Física,1984.0,3.0,Economia,2008.0,3
,,,Engenharia Civil,1976.0,4.0,Engenharia Mecânica,2006.0,3.0,Engenharia Agrícola,2005.0,3
,,,Física,1984.0,4.0,Engenharia Mecânica,2008.0,3.0,Educação,1997.0,3
,,,Administração,1997.0,3.0,Engenharia Mecânica,1999.0,3.0,Engenharia Civil,2006.0,3
,,,Engenharia Florestal,2002.0,3.0,Filosofia,1992.0,3.0,Engenharia De Produção,2012.0,3
,,,Ciências Biológicas,1988.0,3.0,Zootecnia,1990.0,3.0,Engenharia De Produção,2000.0,3
,,,Engenharia Agronômica,1983.0,3.0,Administração,2002.0,3.0,"Engenharia De Minas, Metalúrgica E De Materiais",1995.0,3
,,,Ciências Biológicas,1997.0,3.0,Zootecnia,2001.0,3.0,Química,1989.0,3
,,,Ciências Biológicas,2003.0,3.0,Química,2005.0,3.0,Recursos Hídricos E Saneamento Ambiental,2006.0,2
,,,Engenharia Agronômica,1984.0,3.0,Química,1998.0,3.0,Saúde Pública,1997.0,2
,,,Engenharia Agronômica,1988.0,3.0,Química,1999.0,3.0,Agronomia,1988.0,2
,,,Engenharia Elétrica,2001.0,3.0,Química,2004.0,3.0,Sociologia,2002.0,2
,,,Engenharia Elétrica,2002.0,3.0,Química,1995.0,3.0,Fitotecnia,2002.0,2
,,,Engenharia Agronômica,1993.0,3.0,Sociologia,2003.0,2.0,Fitotecnia (produção Vegetal),1997.0,2
,,,Ciência Da Computação,1993.0,3.0,Química,1993.0,2.0,Antropologia Social,2007.0,2
,,,Ciência Da Computação,1997.0,3.0,Química,2000.0,2.0,Antropologia Social,2009.0,2
,,,Ciência Da Computação,1998.0,3.0,Química,2001.0,2.0,Física,1981.0,2
,,,Agronomia,1971.0,3.0,Química,2002.0,2.0,Física,1987.0,2
,,,Ciência Da Computação,1999.0,3.0,Química,2003.0,2.0,Física,1991.0,2
,,,Agronomia,1976.0,3.0,Química,2006.0,2.0,Física,1993.0,2
,,,Engenharia De Alimentos,2002.0,3.0,Química,1976.0,2.0,Antropologia Social,1983.0,2
,,,Agronomia,1979.0,3.0,Ciências Biológicas (biofísica),1990.0,2.0,Física,2007.0,2
,,,Agronomia,1995.0,3.0,Ciências Agrárias (fisiologia Vegetal),1988.0,2.0,Agroquímica,2009.0,2
,,,Agronomia,1998.0,3.0,Ciências Agrárias (fisiologia Vegetal),1989.0,2.0,Física,2013.0,2
,,,Engenharia Agrícola,1982.0,3.0,Ciências Ambientais E Florestais,1998.0,2.0,Geociências,1987.0,2
,,,Agronomia,2001.0,3.0,Ciências Biológicas,2001.0,2.0,Entomologia,1994.0,2
,,,Agronomia,2002.0,3.0,Ciências (fisiologia Geral),1987.0,2.0,Fitopatologia,1999.0,2
,,,Ciências Sociais,1993.0,3.0,Ciências (microbiologia),1978.0,2.0,Fisiologia,1993.0,2
,,,Ciências Biológicas,1972.0,3.0,Ciências (microbiologia),2000.0,2.0,Engenharia Química,1993.0,2
,,,Agronomia,2006.0,3.0,Ciência Política,1990.0,2.0,Engenharia Química,1995.0,2
,,,Engenharia Elétrica,1971.0,3.0,Zootecnia,1985.0,2.0,Engenharia Química,1998.0,2
,,,Ciências Biológicas,1973.0,3.0,Zootecnia,1989.0,2.0,Engenharia Química,2001.0,2
,,,Engenharia Eletrônica,1989.0,3.0,Administração,1992.0,2.0,Engenharia Mecânica,2007.0,2
,,,Engenharia Elétrica,1974.0,3.0,Filosofia,1988.0,2.0,Engenharia Mecânica,2002.0,2
,,,Ciências Biológicas,1976.0,3.0,Estatística,1989.0,2.0,Engenharia Metalúrgica E De Minas,1997.0,2
,,,Engenharia De Computação,2003.0,3.0,Estatística,1995.0,2.0,Engenharia Química,1992.0,2
,,,Ciências Biológicas,1977.0,3.0,Engenharia Química,2004.0,2.0,Arquitetura E Urbanismo,2004.0,2
,,,Ciências Biológicas,1978.0,3.0,Engenharia Química,2006.0,2.0,Entomologia,2004.0,2
